# x_um E_MeV dEdx_MeV_per_um
0.000000000000000000e+00 5.786227867532653057e+00 1.679082036298829017e-01
6.376594148537134167e-03 5.785157309244155499e+00 1.678692786133302306e-01
1.275318829707426833e-02 5.784086998710229466e+00 1.678304961377850013e-01
1.912978244561140337e-02 5.783016935021942473e+00 1.677918562032471306e-01
2.550637659414853667e-02 5.781947117270376246e+00 1.677533588097167294e-01
3.188297074268567344e-02 5.780877544546600078e+00 1.677150039571937423e-01
3.825956489122280674e-02 5.779808215941690364e+00 1.676767916456782248e-01
4.463615903975994004e-02 5.778739130546718172e+00 1.676387218751700936e-01
5.101275318829707334e-02 5.777670287452760789e+00 1.676007946456694042e-01
5.738934733683420664e-02 5.776601685750887505e+00 1.675630099571761289e-01
6.376594148537134688e-02 5.775533324532174717e+00 1.675253678096902954e-01
7.014253563390847324e-02 5.774465202887698823e+00 1.674878682032118482e-01
7.651912978244561347e-02 5.773397319908530001e+00 1.674505111377409261e-01
8.289572393098273984e-02 5.772329674685743761e+00 1.674132966132773348e-01
8.927231807951988007e-02 5.771262266310412059e+00 1.673762246298211853e-01
9.564891222805700643e-02 5.770195093873611292e+00 1.673392951873724777e-01
1.020255063765941467e-01 5.769128156466412527e+00 1.673025082859311841e-01
1.084021005251312869e-01 5.768061453179892162e+00 1.672658639254973600e-01
1.147786946736684133e-01 5.766994983105122152e+00 1.672293621060709501e-01
1.211552888222055535e-01 5.765928745333178007e+00 1.671930028276519264e-01
1.275318829707426938e-01 5.764862738955129906e+00 1.671567860902402614e-01
1.339084771192798062e-01 5.763796963062057799e+00 1.671207118938361214e-01
1.402850712678169465e-01 5.762731416745032753e+00 1.670847802384394232e-01
1.466616654163540867e-01 5.761666099095127613e+00 1.670489911240501391e-01
1.530382595648912269e-01 5.760601009203417888e+00 1.670133445506682413e-01
1.594148537134283672e-01 5.759536146160972869e+00 1.669778405182937853e-01
1.657914478619654797e-01 5.758471509058871618e+00 1.669424790269267433e-01
1.721680420105026199e-01 5.757407096988186979e+00 1.669072600765671710e-01
1.785446361590397601e-01 5.756342909039992684e+00 1.668721836672150127e-01
1.849212303075769004e-01 5.755278944305362465e+00 1.668372497988702685e-01
1.912978244561140129e-01 5.754215201875367391e+00 1.668024584715329661e-01
1.976744186046511531e-01 5.753151680841081195e+00 1.667678096852030500e-01
2.040510127531882933e-01 5.752088380293583825e+00 1.667333034398805758e-01
2.104276069017254336e-01 5.751025299323945461e+00 1.666989397355655433e-01
2.168042010502625738e-01 5.749962437023239836e+00 1.666647185722579527e-01
2.231807951987996863e-01 5.748899792482538906e+00 1.666306399499577484e-01
2.295573893473368265e-01 5.747837364792920845e+00 1.665967038686650137e-01
2.359339834958739668e-01 5.746775153045454054e+00 1.665629103283796097e-01
2.423105776444111070e-01 5.745713156331217597e+00 1.665292593291017309e-01
2.486871717929482195e-01 5.744651373741283429e+00 1.664957508708312661e-01
2.550637659414853875e-01 5.743589804366724394e+00 1.664623849535682154e-01
2.614403600900225277e-01 5.742528447298616001e+00 1.664291615773125788e-01
2.678169542385596125e-01 5.741467301628025766e+00 1.663960807420643284e-01
2.741935483870967527e-01 5.740406366446039854e+00 1.663631424478235754e-01
2.805701425356338929e-01 5.739345640843722229e+00 1.663303466945902087e-01
2.869467366841710332e-01 5.738285123912151064e+00 1.662976934823643116e-01
2.933233308327081734e-01 5.737224814742398316e+00 1.662651828111458285e-01
2.996999249812453137e-01 5.736164712425536827e+00 1.662328146809346763e-01
3.060765191297824539e-01 5.735104816052642995e+00 1.662005890917310491e-01
3.124531132783195941e-01 5.734045124714791442e+00 1.661685060435348360e-01
3.188297074268567344e-01 5.732985637503051457e+00 1.661365655363460370e-01
3.252063015753938191e-01 5.731926353508501215e+00 1.661047675701646797e-01
3.315828957239309593e-01 5.730867271822212672e+00 1.660731121449907366e-01
3.379594898724680996e-01 5.729808391535257783e+00 1.660415992608242075e-01
3.443360840210052398e-01 5.728749711738715611e+00 1.660102289176651202e-01
3.507126781695423801e-01 5.727691231523657223e+00 1.659790011155134470e-01
3.570892723180795203e-01 5.726632949981154574e+00 1.659479158543692157e-01
3.634658664666166605e-01 5.725574866202284952e+00 1.659169731342323983e-01
3.698424606151538008e-01 5.724516979278119422e+00 1.658861729551030506e-01
3.762190547636909410e-01 5.723459288299729941e+00 1.658555153169810059e-01
3.825956489122280257e-01 5.722401792358196460e+00 1.658250002198664863e-01
3.889722430607651660e-01 5.721344490544589156e+00 1.657946276637594085e-01
3.953488372093023062e-01 5.720287381949982652e+00 1.657643976486597448e-01
