# filename thickness_um trial peak_channel sys_uncertainty stat_uncertainty total_uncertainty model energy_MeV energy_sys_unc energy_stat_unc energy_calib_unc energy_total_unc
T0one.txt 0.000 one 1589.389 0.897 0.176 0.914 ensemble 5.757 0.003 0.001 0.002 0.004
T0three.txt 0.000 three 1600.377 0.465 0.855 0.973 ensemble 5.797 0.002 0.003 0.002 0.004
T0two.txt 0.000 two 1601.616 0.037 0.560 0.561 ensemble 5.802 0.000 0.002 0.002 0.003
T10_5one.txt 10.500 one 1082.000 0.000 1.000 1.000 fallback 3.921 0.000 0.004 0.001 0.004
T10_5three.txt 10.500 three 1083.193 0.326 1.470 1.505 ensemble 3.925 0.001 0.005 0.001 0.006
T10_5two.txt 10.500 two 1082.905 1.595 1.527 2.208 ensemble 3.924 0.006 0.006 0.001 0.008
T12one.txt 12.000 one 985.389 1.125 1.048 1.538 ensemble 3.572 0.004 0.004 0.001 0.006
T12three.txt 12.000 three 983.731 1.089 1.635 1.964 ensemble 3.566 0.004 0.006 0.001 0.007
T12two.txt 12.000 two 985.833 1.297 2.131 2.494 ensemble 3.573 0.005 0.008 0.001 0.009
T18one.txt 18.000 one 787.367 0.148 2.745 2.749 ensemble 2.855 0.001 0.010 0.001 0.010
T18three.txt 18.000 three 800.259 1.511 7.907 8.050 ensemble 2.902 0.005 0.029 0.001 0.029
T18two.txt 18.000 two 787.753 0.181 1.111 1.126 ensemble 2.856 0.001 0.004 0.001 0.004
T19_5one.txt 19.500 one 671.382 1.499 3.502 3.810 ensemble 2.435 0.005 0.013 0.001 0.014
T19_5three.txt 19.500 three 675.002 5.968 4.183 7.288 ensemble 2.448 0.022 0.015 0.001 0.026
T19_5two.txt 19.500 two 671.195 0.661 3.852 3.909 ensemble 2.434 0.002 0.014 0.001 0.014
T1_5one.txt 1.500 one 1519.198 0.976 0.221 1.001 ensemble 5.503 0.004 0.001 0.001 0.004
T1_5three.txt 1.500 three 1529.395 0.923 0.481 1.040 ensemble 5.540 0.003 0.002 0.002 0.004
T1_5two.txt 1.500 two 1528.822 0.916 0.415 1.006 ensemble 5.538 0.003 0.002 0.001 0.004
T22_5one.txt 22.500 one 456.000 0.000 1.000 1.000 fallback 1.656 0.000 0.004 0.001 0.004
T22_5three.txt 22.500 three 466.684 5.694 3.416 6.640 ensemble 1.694 0.021 0.012 0.001 0.024
T22_5two.txt 22.500 two 462.867 6.188 3.505 7.111 ensemble 1.680 0.022 0.013 0.001 0.026
T24one.txt 24.000 one 286.559 4.185 3.348 5.359 ensemble 1.042 0.015 0.012 0.001 0.019
T24three.txt 24.000 three 287.431 1.514 2.665 3.065 ensemble 1.046 0.005 0.010 0.001 0.011
T24two.txt 24.000 two 286.828 1.053 3.441 3.599 ensemble 1.043 0.004 0.012 0.001 0.013
T25_5one.txt 25.500 one 117.499 6.515 8.031 10.341 ensemble 0.431 0.024 0.029 0.001 0.037
T25_5three.txt 25.500 three 111.701 0.896 6.664 6.724 ensemble 0.410 0.003 0.024 0.001 0.024
T25_5two.txt 25.500 two 113.885 2.660 6.519 7.041 ensemble 0.417 0.010 0.024 0.001 0.025
T4_5one.txt 4.500 one 1397.788 0.000 0.231 0.231 ensemble 5.064 0.000 0.001 0.001 0.002
T4_5three.txt 4.500 three 1407.600 0.949 1.011 1.387 ensemble 5.100 0.003 0.004 0.001 0.005
T4_5two.txt 4.500 two 1408.000 0.000 1.000 1.000 fallback 5.101 0.000 0.004 0.001 0.004
T6one.txt 6.000 one 1307.134 0.114 0.307 0.328 ensemble 4.736 0.000 0.001 0.001 0.002
T6three.txt 6.000 three 1317.605 0.162 0.963 0.977 ensemble 4.774 0.001 0.003 0.001 0.004
T6two.txt 6.000 two 1317.399 0.086 0.864 0.869 ensemble 4.773 0.000 0.003 0.001 0.003
T7_5one.txt 7.500 one 1223.197 0.273 0.339 0.435 ensemble 4.432 0.001 0.001 0.001 0.002
T7_5three.txt 7.500 three 1227.416 0.202 0.564 0.599 ensemble 4.447 0.001 0.002 0.001 0.003
T7_5two.txt 7.500 two 1228.019 0.415 1.649 1.700 ensemble 4.450 0.002 0.006 0.001 0.006
