# thickness_um  avg_peak_channel  avg_sys_uncertainty  avg_stat_uncertainty  avg_total_uncertainty  n_trials  avg_energy_MeV  energy_sys_unc  energy_stat_unc  energy_calib_unc  energy_total_unc
0.000 1598.679 0.584 0.429 0.725 3 5.791 0.002 0.002 0.002 0.003
1.500 1525.701 0.939 0.586 1.107 3 5.527 0.003 0.002 0.001 0.004
4.500 1398.541 0.548 0.222 0.591 3 5.067 0.002 0.001 0.001 0.003
6.000 1309.239 0.124 0.293 0.318 3 4.744 0.000 0.001 0.001 0.002
7.500 1224.792 0.309 0.345 0.463 3 4.438 0.001 0.001 0.001 0.002
10.500 1082.433 0.940 0.779 1.221 3 3.923 0.003 0.003 0.001 0.005
12.000 984.964 1.174 1.089 1.601 3 3.570 0.004 0.004 0.001 0.006
18.000 787.905 0.883 1.033 1.359 3 2.857 0.003 0.004 0.001 0.005
19.500 671.747 3.573 2.555 4.392 3 2.436 0.013 0.009 0.001 0.016
22.500 456.363 4.855 0.979 4.953 3 1.657 0.018 0.004 0.001 0.018
24.000 287.079 2.640 2.139 3.398 3 1.044 0.010 0.008 0.001 0.012
25.500 113.604 4.096 4.401 6.012 3 0.416 0.015 0.016 0.001 0.022
