# x_um E_MeV dEdx_MeV_per_um
2.225000 5.275992 0.000084
15.080421 5.274909 0.000084
27.935842 5.273827 0.000084
40.791263 5.272745 0.000084
53.646684 5.271664 0.000084
66.502106 5.270583 0.000084
79.357527 5.269502 0.000084
92.212948 5.268422 0.000084
105.068369 5.267343 0.000084
117.923790 5.266264 0.000084
130.779211 5.265185 0.000084
143.634632 5.264107 0.000084
156.490053 5.263030 0.000084
169.345474 5.261952 0.000084
182.200895 5.260876 0.000084
195.056317 5.259799 0.000084
207.911738 5.258723 0.000084
220.767159 5.257648 0.000084
233.622580 5.256573 0.000084
246.478001 5.255499 0.000084
259.333422 5.254425 0.000084
272.188843 5.253351 0.000083
285.044264 5.252278 0.000083
297.899685 5.251205 0.000083
310.755107 5.250133 0.000083
323.610528 5.249061 0.000083
336.465949 5.247990 0.000083
349.321370 5.246919 0.000083
362.176791 5.245848 0.000083
375.032212 5.244778 0.000083
387.887633 5.243709 0.000083
400.743054 5.242639 0.000083
413.598475 5.241571 0.000083
426.453896 5.240502 0.000083
439.309318 5.239435 0.000083
452.164739 5.238367 0.000083
465.020160 5.237300 0.000083
477.875581 5.236234 0.000083
490.731002 5.235168 0.000083
503.586423 5.234102 0.000083
516.441844 5.233037 0.000083
529.297265 5.231972 0.000083
542.152686 5.230908 0.000083
555.008108 5.229844 0.000083
567.863529 5.228780 0.000083
580.718950 5.227717 0.000083
593.574371 5.226655 0.000083
606.429792 5.225592 0.000083
619.285213 5.224531 0.000083
632.140634 5.223469 0.000083
644.996055 5.222409 0.000083
657.851476 5.221348 0.000082
670.706897 5.220288 0.000082
683.562319 5.219229 0.000082
696.417740 5.218169 0.000082
709.273161 5.217111 0.000082
722.128582 5.216052 0.000082
734.984003 5.214995 0.000082
747.839424 5.213937 0.000082
760.694845 5.212880 0.000082
773.550266 5.211824 0.000082
786.405687 5.210767 0.000082
799.261109 5.209712 0.000082
812.116530 5.208656 0.000082
824.971951 5.207601 0.000082
837.827372 5.206547 0.000082
850.682793 5.205493 0.000082
863.538214 5.204439 0.000082
876.393635 5.203386 0.000082
889.249056 5.202333 0.000082
902.104477 5.201281 0.000082
914.959898 5.200229 0.000082
927.815320 5.199177 0.000082
940.670741 5.198126 0.000082
953.526162 5.197076 0.000082
966.381583 5.196025 0.000082
979.237004 5.194975 0.000082
992.092425 5.193926 0.000082
1004.947846 5.192877 0.000082
1017.803267 5.191828 0.000082
1030.658688 5.190780 0.000082
1043.514110 5.189732 0.000081
1056.369531 5.188685 0.000081
1069.224952 5.187638 0.000081
1082.080373 5.186592 0.000081
1094.935794 5.185545 0.000081
1107.791215 5.184500 0.000081
1120.646636 5.183454 0.000081
1133.502057 5.182409 0.000081
1146.357478 5.181365 0.000081
1159.212899 5.180321 0.000081
1172.068321 5.179277 0.000081
1184.923742 5.178234 0.000081
1197.779163 5.177191 0.000081
1210.634584 5.176148 0.000081
1223.490005 5.175106 0.000081
