# x_um E_MeV dEdx_MeV_per_um
2.225000 5.577432 0.000069
13.921422 5.576628 0.000069
25.617843 5.575824 0.000069
37.314265 5.575020 0.000069
49.010686 5.574216 0.000069
60.707108 5.573412 0.000069
72.403530 5.572608 0.000069
84.099951 5.571804 0.000069
95.796373 5.571000 0.000069
107.492794 5.570196 0.000069
119.189216 5.569392 0.000069
130.885638 5.568589 0.000069
142.582059 5.567785 0.000069
154.278481 5.566981 0.000069
165.974902 5.566178 0.000069
177.671324 5.565374 0.000069
189.367746 5.564570 0.000069
201.064167 5.563767 0.000069
212.760589 5.562964 0.000069
224.457011 5.562160 0.000069
236.153432 5.561357 0.000069
247.849854 5.560553 0.000069
259.546275 5.559750 0.000069
271.242697 5.558947 0.000069
282.939119 5.558144 0.000069
294.635540 5.557340 0.000069
306.331962 5.556537 0.000069
318.028383 5.555734 0.000069
329.724805 5.554931 0.000069
341.421227 5.554128 0.000069
353.117648 5.553325 0.000069
364.814070 5.552522 0.000069
376.510491 5.551719 0.000069
388.206913 5.550916 0.000069
399.903335 5.550113 0.000069
411.599756 5.549310 0.000069
423.296178 5.548508 0.000069
434.992599 5.547705 0.000069
446.689021 5.546902 0.000069
458.385443 5.546100 0.000069
470.081864 5.545297 0.000069
481.778286 5.544494 0.000069
493.474707 5.543692 0.000069
505.171129 5.542889 0.000069
516.867551 5.542087 0.000069
528.563972 5.541284 0.000069
540.260394 5.540482 0.000069
551.956815 5.539679 0.000069
563.653237 5.538877 0.000069
575.349659 5.538075 0.000069
587.046080 5.537272 0.000069
598.742502 5.536470 0.000069
610.438923 5.535668 0.000069
622.135345 5.534866 0.000069
633.831767 5.534064 0.000069
645.528188 5.533262 0.000069
657.224610 5.532460 0.000069
668.921032 5.531657 0.000069
680.617453 5.530855 0.000069
692.313875 5.530054 0.000069
704.010296 5.529252 0.000069
715.706718 5.528450 0.000069
727.403140 5.527648 0.000069
739.099561 5.526846 0.000069
750.795983 5.526044 0.000069
762.492404 5.525242 0.000069
774.188826 5.524441 0.000069
785.885248 5.523639 0.000069
797.581669 5.522837 0.000069
809.278091 5.522036 0.000069
820.974512 5.521234 0.000069
832.670934 5.520433 0.000069
844.367356 5.519631 0.000069
856.063777 5.518830 0.000069
867.760199 5.518028 0.000069
879.456620 5.517227 0.000069
891.153042 5.516425 0.000069
902.849464 5.515624 0.000069
914.545885 5.514823 0.000069
926.242307 5.514021 0.000069
937.938728 5.513220 0.000069
949.635150 5.512419 0.000069
961.331572 5.511617 0.000068
973.027993 5.510816 0.000068
984.724415 5.510015 0.000068
996.420836 5.509214 0.000068
1008.117258 5.508413 0.000068
1019.813680 5.507612 0.000068
1031.510101 5.506811 0.000068
1043.206523 5.506010 0.000068
1054.902944 5.505209 0.000068
1066.599366 5.504408 0.000068
1078.295788 5.503607 0.000068
1089.992209 5.502806 0.000068
1101.688631 5.502005 0.000068
1113.385053 5.501205 0.000068
1125.081474 5.500404 0.000068
1136.777896 5.499603 0.000068
1148.474317 5.498802 0.000068
1160.170739 5.498002 0.000068
1171.867161 5.497201 0.000068
1183.563582 5.496400 0.000068
1195.260004 5.495600 0.000068
1206.956425 5.494799 0.000068
1218.652847 5.493999 0.000068
1230.349269 5.493198 0.000068
1242.045690 5.492398 0.000068
1253.742112 5.491597 0.000068
1265.438533 5.490797 0.000068
1277.134955 5.489997 0.000068
1288.831377 5.489196 0.000068
1300.527798 5.488396 0.000068
1312.224220 5.487596 0.000068
1323.920641 5.486795 0.000068
1335.617063 5.485995 0.000068
1347.313485 5.485195 0.000068
1359.009906 5.484395 0.000068
1370.706328 5.483595 0.000068
1382.402749 5.482794 0.000068
1394.099171 5.481994 0.000068
1405.795593 5.481194 0.000068
1417.492014 5.480394 0.000068
1429.188436 5.479594 0.000068
1440.884857 5.478794 0.000068
1452.581279 5.477994 0.000068
1464.277701 5.477194 0.000068
1475.974122 5.476394 0.000068
1487.670544 5.475595 0.000068
1499.366965 5.474795 0.000068
1511.063387 5.473995 0.000068
1522.759809 5.473195 0.000068
1534.456230 5.472395 0.000068
1546.152652 5.471596 0.000068
1557.849074 5.470796 0.000068
1569.545495 5.469996 0.000068
1581.241917 5.469197 0.000068
1592.938338 5.468397 0.000068
1604.634760 5.467597 0.000068
1616.331182 5.466798 0.000068
1628.027603 5.465998 0.000068
1639.724025 5.465199 0.000068
1651.420446 5.464399 0.000068
1663.116868 5.463600 0.000068
1674.813290 5.462800 0.000068
1686.509711 5.462001 0.000068
1698.206133 5.461201 0.000068
1709.902554 5.460402 0.000068
1721.598976 5.459603 0.000068
1733.295398 5.458803 0.000068
1744.991819 5.458004 0.000068
1756.688241 5.457205 0.000068
1768.384662 5.456405 0.000068
1780.081084 5.455606 0.000068
1791.777506 5.454807 0.000068
1803.473927 5.454008 0.000068
1815.170349 5.453209 0.000068
1826.866770 5.452410 0.000068
1838.563192 5.451610 0.000068
1850.259614 5.450811 0.000068
1861.956035 5.450012 0.000068
1873.652457 5.449213 0.000068
1885.348878 5.448414 0.000068
1897.045300 5.447615 0.000068
1908.741722 5.446816 0.000068
1920.438143 5.446017 0.000068
1932.134565 5.445218 0.000068
1943.830986 5.444419 0.000068
1955.527408 5.443621 0.000068
1967.223830 5.442822 0.000068
1978.920251 5.442023 0.000068
1990.616673 5.441224 0.000068
2002.313095 5.440425 0.000068
2014.009516 5.439627 0.000068
2025.705938 5.438828 0.000068
2037.402359 5.438029 0.000068
2049.098781 5.437230 0.000068
2060.795203 5.436432 0.000068
2072.491624 5.435633 0.000068
2084.188046 5.434835 0.000068
2095.884467 5.434036 0.000068
2107.580889 5.433237 0.000068
2119.277311 5.432439 0.000068
2130.973732 5.431640 0.000068
2142.670154 5.430842 0.000068
2154.366575 5.430043 0.000068
2166.062997 5.429245 0.000068
2177.759419 5.428446 0.000068
2189.455840 5.427648 0.000068
2201.152262 5.426849 0.000068
2212.848683 5.426051 0.000068
2224.545105 5.425253 0.000068
2236.241527 5.424454 0.000068
2247.937948 5.423656 0.000068
2259.634370 5.422858 0.000068
2271.330791 5.422059 0.000068
2283.027213 5.421261 0.000068
2294.723635 5.420463 0.000068
2306.420056 5.419665 0.000068
2318.116478 5.418866 0.000068
2329.812899 5.418068 0.000068
2341.509321 5.417270 0.000068
2353.205743 5.416472 0.000068
2364.902164 5.415674 0.000068
