# x_um E_MeV dEdx_MeV_per_um
2.225000 4.931338 0.000082
13.921422 4.930373 0.000082
25.617843 4.929409 0.000082
37.314265 4.928444 0.000082
49.010686 4.927480 0.000082
60.707108 4.926517 0.000082
72.403530 4.925553 0.000082
84.099951 4.924590 0.000082
95.796373 4.923627 0.000082
107.492794 4.922664 0.000082
119.189216 4.921701 0.000082
130.885638 4.920738 0.000082
142.582059 4.919776 0.000082
154.278481 4.918814 0.000082
165.974902 4.917852 0.000082
177.671324 4.916891 0.000082
189.367746 4.915929 0.000082
201.064167 4.914968 0.000082
212.760589 4.914007 0.000082
224.457011 4.913047 0.000082
236.153432 4.912086 0.000082
247.849854 4.911126 0.000082
259.546275 4.910166 0.000082
271.242697 4.909206 0.000082
282.939119 4.908246 0.000082
294.635540 4.907287 0.000082
306.331962 4.906328 0.000082
318.028383 4.905369 0.000082
329.724805 4.904410 0.000082
341.421227 4.903452 0.000082
353.117648 4.902494 0.000082
364.814070 4.901535 0.000082
376.510491 4.900578 0.000082
388.206913 4.899620 0.000082
399.903335 4.898663 0.000082
411.599756 4.897705 0.000082
423.296178 4.896748 0.000082
434.992599 4.895792 0.000082
446.689021 4.894835 0.000082
458.385443 4.893879 0.000082
470.081864 4.892923 0.000082
481.778286 4.891967 0.000082
493.474707 4.891011 0.000082
505.171129 4.890056 0.000082
516.867551 4.889100 0.000082
528.563972 4.888145 0.000082
540.260394 4.887191 0.000082
551.956815 4.886236 0.000082
563.653237 4.885282 0.000082
575.349659 4.884327 0.000082
587.046080 4.883373 0.000082
598.742502 4.882420 0.000082
610.438923 4.881466 0.000082
622.135345 4.880513 0.000081
633.831767 4.879560 0.000081
645.528188 4.878607 0.000081
657.224610 4.877654 0.000081
668.921032 4.876701 0.000081
680.617453 4.875749 0.000081
692.313875 4.874797 0.000081
704.010296 4.873845 0.000081
715.706718 4.872894 0.000081
727.403140 4.871942 0.000081
739.099561 4.870991 0.000081
750.795983 4.870040 0.000081
762.492404 4.869089 0.000081
774.188826 4.868138 0.000081
785.885248 4.867188 0.000081
797.581669 4.866238 0.000081
809.278091 4.865288 0.000081
820.974512 4.864338 0.000081
832.670934 4.863388 0.000081
844.367356 4.862439 0.000081
856.063777 4.861490 0.000081
867.760199 4.860541 0.000081
879.456620 4.859592 0.000081
891.153042 4.858644 0.000081
902.849464 4.857695 0.000081
914.545885 4.856747 0.000081
926.242307 4.855799 0.000081
937.938728 4.854851 0.000081
949.635150 4.853904 0.000081
961.331572 4.852956 0.000081
973.027993 4.852009 0.000081
984.724415 4.851062 0.000081
996.420836 4.850116 0.000081
1008.117258 4.849169 0.000081
1019.813680 4.848223 0.000081
1031.510101 4.847277 0.000081
1043.206523 4.846331 0.000081
1054.902944 4.845385 0.000081
1066.599366 4.844440 0.000081
1078.295788 4.843494 0.000081
1089.992209 4.842549 0.000081
1101.688631 4.841604 0.000081
1113.385053 4.840659 0.000081
1125.081474 4.839715 0.000081
1136.777896 4.838771 0.000081
1148.474317 4.837826 0.000081
1160.170739 4.836883 0.000081
1171.867161 4.835939 0.000081
1183.563582 4.834995 0.000081
1195.260004 4.834052 0.000081
1206.956425 4.833109 0.000081
1218.652847 4.832166 0.000081
1230.349269 4.831223 0.000081
1242.045690 4.830281 0.000081
1253.742112 4.829338 0.000081
1265.438533 4.828396 0.000081
1277.134955 4.827454 0.000081
1288.831377 4.826512 0.000081
1300.527798 4.825571 0.000080
1312.224220 4.824629 0.000080
1323.920641 4.823688 0.000080
1335.617063 4.822747 0.000080
1347.313485 4.821806 0.000080
1359.009906 4.820866 0.000080
1370.706328 4.819925 0.000080
1382.402749 4.818985 0.000080
1394.099171 4.818045 0.000080
1405.795593 4.817105 0.000080
1417.492014 4.816166 0.000080
1429.188436 4.815226 0.000080
1440.884857 4.814287 0.000080
1452.581279 4.813348 0.000080
1464.277701 4.812409 0.000080
1475.974122 4.811470 0.000080
1487.670544 4.810532 0.000080
1499.366965 4.809593 0.000080
1511.063387 4.808655 0.000080
1522.759809 4.807717 0.000080
1534.456230 4.806780 0.000080
1546.152652 4.805842 0.000080
1557.849074 4.804905 0.000080
1569.545495 4.803967 0.000080
1581.241917 4.803030 0.000080
1592.938338 4.802094 0.000080
1604.634760 4.801157 0.000080
1616.331182 4.800221 0.000080
1628.027603 4.799284 0.000080
1639.724025 4.798348 0.000080
1651.420446 4.797412 0.000080
1663.116868 4.796477 0.000080
1674.813290 4.795541 0.000080
1686.509711 4.794606 0.000080
1698.206133 4.793671 0.000080
1709.902554 4.792736 0.000080
1721.598976 4.791801 0.000080
1733.295398 4.790866 0.000080
1744.991819 4.789932 0.000080
1756.688241 4.788998 0.000080
1768.384662 4.788064 0.000080
1780.081084 4.787130 0.000080
1791.777506 4.786196 0.000080
1803.473927 4.785263 0.000080
1815.170349 4.784329 0.000080
1826.866770 4.783396 0.000080
1838.563192 4.782463 0.000080
1850.259614 4.781531 0.000080
1861.956035 4.780598 0.000080
1873.652457 4.779666 0.000080
1885.348878 4.778733 0.000080
1897.045300 4.777801 0.000080
1908.741722 4.776869 0.000080
1920.438143 4.775938 0.000080
1932.134565 4.775006 0.000080
1943.830986 4.774075 0.000080
1955.527408 4.773144 0.000080
1967.223830 4.772213 0.000080
1978.920251 4.771282 0.000080
1990.616673 4.770351 0.000080
2002.313095 4.769421 0.000080
2014.009516 4.768491 0.000080
2025.705938 4.767561 0.000080
2037.402359 4.766631 0.000079
2049.098781 4.765701 0.000079
2060.795203 4.764771 0.000079
2072.491624 4.763842 0.000079
2084.188046 4.762913 0.000079
2095.884467 4.761984 0.000079
2107.580889 4.761055 0.000079
2119.277311 4.760126 0.000079
2130.973732 4.759198 0.000079
2142.670154 4.758269 0.000079
2154.366575 4.757341 0.000079
2166.062997 4.756413 0.000079
2177.759419 4.755485 0.000079
2189.455840 4.754558 0.000079
2201.152262 4.753630 0.000079
2212.848683 4.752703 0.000079
2224.545105 4.751776 0.000079
2236.241527 4.750849 0.000079
2247.937948 4.749922 0.000079
2259.634370 4.748995 0.000079
2271.330791 4.748069 0.000079
2283.027213 4.747143 0.000079
2294.723635 4.746216 0.000079
2306.420056 4.745291 0.000079
2318.116478 4.744365 0.000079
2329.812899 4.743439 0.000079
2341.509321 4.742514 0.000079
2353.205743 4.741588 0.000079
2364.902164 4.740663 0.000079
2376.598586 4.739738 0.000079
2388.295008 4.738814 0.000079
2399.991429 4.737889 0.000079
2411.687851 4.736965 0.000079
2423.384272 4.736040 0.000079
2435.080694 4.735116 0.000079
2446.777116 4.734192 0.000079
2458.473537 4.733269 0.000079
2470.169959 4.732345 0.000079
2481.866380 4.731422 0.000079
2493.562802 4.730498 0.000079
2505.259224 4.729575 0.000079
2516.955645 4.728652 0.000079
2528.652067 4.727729 0.000079
2540.348488 4.726807 0.000079
2552.044910 4.725884 0.000079
2563.741332 4.724962 0.000079
2575.437753 4.724040 0.000079
2587.134175 4.723118 0.000079
2598.830596 4.722196 0.000079
2610.527018 4.721275 0.000079
2622.223440 4.720353 0.000079
2633.919861 4.719432 0.000079
2645.616283 4.718511 0.000079
2657.312704 4.717590 0.000079
2669.009126 4.716669 0.000079
2680.705548 4.715748 0.000079
2692.401969 4.714828 0.000079
2704.098391 4.713907 0.000079
2715.794812 4.712987 0.000079
2727.491234 4.712067 0.000079
2739.187656 4.711147 0.000079
2750.884077 4.710227 0.000079
2762.580499 4.709308 0.000079
2774.276920 4.708388 0.000079
2785.973342 4.707469 0.000079
2797.669764 4.706550 0.000079
2809.366185 4.705631 0.000079
2821.062607 4.704712 0.000079
2832.759029 4.703794 0.000079
2844.455450 4.702875 0.000079
2856.151872 4.701957 0.000079
2867.848293 4.701039 0.000078
2879.544715 4.700121 0.000078
2891.241137 4.699203 0.000078
2902.937558 4.698285 0.000078
2914.633980 4.697368 0.000078
2926.330401 4.696450 0.000078
2938.026823 4.695533 0.000078
2949.723245 4.694616 0.000078
2961.419666 4.693699 0.000078
2973.116088 4.692782 0.000078
2984.812509 4.691866 0.000078
2996.508931 4.690949 0.000078
3008.205353 4.690033 0.000078
3019.901774 4.689117 0.000078
3031.598196 4.688201 0.000078
3043.294617 4.687285 0.000078
3054.991039 4.686369 0.000078
3066.687461 4.685454 0.000078
3078.383882 4.684538 0.000078
3090.080304 4.683623 0.000078
3101.776725 4.682708 0.000078
3113.473147 4.681793 0.000078
3125.169569 4.680878 0.000078
3136.865990 4.679963 0.000078
3148.562412 4.679049 0.000078
3160.258833 4.678134 0.000078
3171.955255 4.677220 0.000078
3183.651677 4.676306 0.000078
3195.348098 4.675392 0.000078
3207.044520 4.674478 0.000078
3218.740941 4.673565 0.000078
3230.437363 4.672651 0.000078
3242.133785 4.671738 0.000078
3253.830206 4.670825 0.000078
3265.526628 4.669912 0.000078
3277.223050 4.668999 0.000078
3288.919471 4.668086 0.000078
3300.615893 4.667173 0.000078
3312.312314 4.666261 0.000078
3324.008736 4.665349 0.000078
3335.705158 4.664436 0.000078
3347.401579 4.663524 0.000078
3359.098001 4.662613 0.000078
3370.794422 4.661701 0.000078
3382.490844 4.660789 0.000078
3394.187266 4.659878 0.000078
3405.883687 4.658966 0.000078
3417.580109 4.658055 0.000078
3429.276530 4.657144 0.000078
3440.972952 4.656233 0.000078
3452.669374 4.655322 0.000078
3464.365795 4.654412 0.000078
3476.062217 4.653501 0.000078
3487.758638 4.652591 0.000078
3499.455060 4.651681 0.000078
3511.151482 4.650771 0.000078
3522.847903 4.649861 0.000078
3534.544325 4.648951 0.000078
3546.240746 4.648041 0.000078
3557.937168 4.647132 0.000078
3569.633590 4.646223 0.000078
3581.330011 4.645313 0.000078
3593.026433 4.644404 0.000078
3604.722854 4.643495 0.000078
3616.419276 4.642586 0.000078
3628.115698 4.641678 0.000078
3639.812119 4.640769 0.000078
3651.508541 4.639861 0.000078
3663.204962 4.638952 0.000078
3674.901384 4.638044 0.000078
3686.597806 4.637136 0.000078
3698.294227 4.636228 0.000078
3709.990649 4.635321 0.000078
3721.687071 4.634413 0.000078
3733.383492 4.633506 0.000078
3745.079914 4.632598 0.000078
3756.776335 4.631691 0.000078
3768.472757 4.630784 0.000078
3780.169179 4.629877 0.000078
3791.865600 4.628970 0.000078
3803.562022 4.628064 0.000078
3815.258443 4.627157 0.000078
3826.954865 4.626251 0.000077
3838.651287 4.625344 0.000077
3850.347708 4.624438 0.000077
3862.044130 4.623532 0.000077
3873.740551 4.622626 0.000077
3885.436973 4.621721 0.000077
3897.133395 4.620815 0.000077
3908.829816 4.619909 0.000077
3920.526238 4.619004 0.000077
3932.222659 4.618099 0.000077
3943.919081 4.617194 0.000077
3955.615503 4.616289 0.000077
3967.311924 4.615384 0.000077
3979.008346 4.614479 0.000077
3990.704767 4.613575 0.000077
4002.401189 4.612670 0.000077
4014.097611 4.611766 0.000077
4025.794032 4.610861 0.000077
4037.490454 4.609957 0.000077
4049.186875 4.609053 0.000077
4060.883297 4.608150 0.000077
4072.579719 4.607246 0.000077
4084.276140 4.606342 0.000077
4095.972562 4.605439 0.000077
4107.668983 4.604535 0.000077
4119.365405 4.603632 0.000077
4131.061827 4.602729 0.000077
4142.758248 4.601826 0.000077
4154.454670 4.600923 0.000077
4166.151092 4.600021 0.000077
4177.847513 4.599118 0.000077
4189.543935 4.598215 0.000077
4201.240356 4.597313 0.000077
4212.936778 4.596411 0.000077
4224.633200 4.595509 0.000077
4236.329621 4.594607 0.000077
4248.026043 4.593705 0.000077
4259.722464 4.592803 0.000077
4271.418886 4.591902 0.000077
4283.115308 4.591000 0.000077
4294.811729 4.590099 0.000077
4306.508151 4.589197 0.000077
4318.204572 4.588296 0.000077
4329.900994 4.587395 0.000077
4341.597416 4.586494 0.000077
4353.293837 4.585593 0.000077
4364.990259 4.584693 0.000077
4376.686680 4.583792 0.000077
4388.383102 4.582892 0.000077
4400.079524 4.581991 0.000077
4411.775945 4.581091 0.000077
4423.472367 4.580191 0.000077
4435.168788 4.579291 0.000077
4446.865210 4.578391 0.000077
4458.561632 4.577491 0.000077
4470.258053 4.576592 0.000077
4481.954475 4.575692 0.000077
4493.650896 4.574793 0.000077
4505.347318 4.573894 0.000077
4517.043740 4.572994 0.000077
4528.740161 4.572095 0.000077
4540.436583 4.571196 0.000077
4552.133005 4.570298 0.000077
4563.829426 4.569399 0.000077
4575.525848 4.568500 0.000077
4587.222269 4.567602 0.000077
4598.918691 4.566703 0.000077
4610.615113 4.565805 0.000077
4622.311534 4.564907 0.000077
4634.007956 4.564009 0.000077
4645.704377 4.563111 0.000077
4657.400799 4.562213 0.000077
4669.097221 4.561315 0.000077
4680.793642 4.560418 0.000077
4692.490064 4.559520 0.000077
4704.186485 4.558623 0.000077
4715.882907 4.557726 0.000077
4727.579329 4.556828 0.000077
4739.275750 4.555931 0.000077
4750.972172 4.555034 0.000077
4762.668593 4.554138 0.000077
4774.365015 4.553241 0.000077
4786.061437 4.552344 0.000077
4797.757858 4.551448 0.000077
4809.454280 4.550551 0.000077
4821.150701 4.549655 0.000077
4832.847123 4.548759 0.000077
4844.543545 4.547863 0.000077
4856.239966 4.546967 0.000077
4867.936388 4.546071 0.000077
4879.632809 4.545175 0.000077
4891.329231 4.544279 0.000077
4903.025653 4.543384 0.000077
4914.722074 4.542488 0.000077
4926.418496 4.541593 0.000077
4938.114917 4.540698 0.000077
4949.811339 4.539803 0.000077
4961.507761 4.538907 0.000077
4973.204182 4.538013 0.000077
4984.900604 4.537118 0.000077
4996.597026 4.536223 0.000076
5008.293447 4.535328 0.000076
5019.989869 4.534434 0.000076
5031.686290 4.533539 0.000076
5043.382712 4.532645 0.000076
5055.079134 4.531751 0.000076
5066.775555 4.530857 0.000076
5078.471977 4.529963 0.000076
5090.168398 4.529069 0.000076
5101.864820 4.528175 0.000076
5113.561242 4.527281 0.000076
5125.257663 4.526387 0.000076
5136.954085 4.525494 0.000076
5148.650506 4.524600 0.000076
5160.346928 4.523707 0.000076
5172.043350 4.522814 0.000076
5183.739771 4.521921 0.000076
5195.436193 4.521028 0.000076
5207.132614 4.520135 0.000076
5218.829036 4.519242 0.000076
5230.525458 4.518349 0.000076
5242.221879 4.517456 0.000076
5253.918301 4.516564 0.000076
5265.614722 4.515671 0.000076
5277.311144 4.514779 0.000076
5289.007566 4.513887 0.000076
5300.703987 4.512994 0.000076
5312.400409 4.512102 0.000076
5324.096830 4.511210 0.000076
5335.793252 4.510318 0.000076
5347.489674 4.509427 0.000076
5359.186095 4.508535 0.000076
5370.882517 4.507643 0.000076
5382.578938 4.506752 0.000076
5394.275360 4.505860 0.000076
5405.971782 4.504969 0.000076
5417.668203 4.504078 0.000076
5429.364625 4.503187 0.000076
5441.061047 4.502295 0.000076
5452.757468 4.501404 0.000076
5464.453890 4.500514 0.000076
5476.150311 4.499623 0.000076
5487.846733 4.498732 0.000076
5499.543155 4.497841 0.000076
5511.239576 4.496951 0.000076
5522.935998 4.496060 0.000076
5534.632419 4.495170 0.000076
5546.328841 4.494280 0.000076
5558.025263 4.493390 0.000076
5569.721684 4.492499 0.000076
5581.418106 4.491609 0.000076
5593.114527 4.490720 0.000076
5604.810949 4.489830 0.000076
5616.507371 4.488940 0.000076
5628.203792 4.488050 0.000076
5639.900214 4.487161 0.000076
5651.596635 4.486271 0.000076
5663.293057 4.485382 0.000076
5674.989479 4.484493 0.000076
5686.685900 4.483603 0.000076
5698.382322 4.482714 0.000076
5710.078743 4.481825 0.000076
5721.775165 4.480936 0.000076
5733.471587 4.480047 0.000076
5745.168008 4.479158 0.000076
5756.864430 4.478270 0.000076
5768.560851 4.477381 0.000076
5780.257273 4.476492 0.000076
5791.953695 4.475604 0.000076
5803.650116 4.474716 0.000076
5815.346538 4.473827 0.000076
5827.042959 4.472939 0.000076
5838.739381 4.472051 0.000076
5850.435803 4.471163 0.000076
5862.132224 4.470275 0.000076
5873.828646 4.469387 0.000076
5885.525068 4.468499 0.000076
5897.221489 4.467611 0.000076
5908.917911 4.466724 0.000076
5920.614332 4.465836 0.000076
5932.310754 4.464949 0.000076
5944.007176 4.464061 0.000076
5955.703597 4.463174 0.000076
5967.400019 4.462286 0.000076
5979.096440 4.461399 0.000076
5990.792862 4.460512 0.000076
6002.489284 4.459625 0.000076
6014.185705 4.458738 0.000076
6025.882127 4.457851 0.000076
6037.578548 4.456964 0.000076
6049.274970 4.456078 0.000076
6060.971392 4.455191 0.000076
