# x_um E_MeV dEdx_MeV_per_um
0.503000 4.678386 0.000092
8.170101 4.677682 0.000092
15.837202 4.676977 0.000092
23.504302 4.676273 0.000092
31.171403 4.675568 0.000092
38.838504 4.674863 0.000092
46.505605 4.674159 0.000092
54.172705 4.673454 0.000092
61.839806 4.672749 0.000092
69.506907 4.672044 0.000092
77.174008 4.671338 0.000092
84.841109 4.670633 0.000092
92.508209 4.669928 0.000092
100.175310 4.669222 0.000092
107.842411 4.668517 0.000092
115.509512 4.667811 0.000092
123.176612 4.667105 0.000092
130.843713 4.666399 0.000092
138.510814 4.665694 0.000092
146.177915 4.664987 0.000092
153.845016 4.664281 0.000092
161.512116 4.663575 0.000092
169.179217 4.662869 0.000092
176.846318 4.662162 0.000092
184.513419 4.661456 0.000092
192.180519 4.660749 0.000092
199.847620 4.660042 0.000092
207.514721 4.659335 0.000092
215.181822 4.658629 0.000092
222.848922 4.657922 0.000092
230.516023 4.657214 0.000092
238.183124 4.656507 0.000092
245.850225 4.655800 0.000092
253.517326 4.655092 0.000092
261.184426 4.654385 0.000092
268.851527 4.653677 0.000092
276.518628 4.652970 0.000092
284.185729 4.652262 0.000092
291.852829 4.651554 0.000092
299.519930 4.650846 0.000092
307.187031 4.650138 0.000092
314.854132 4.649429 0.000092
322.521233 4.648721 0.000092
330.188333 4.648013 0.000092
337.855434 4.647304 0.000092
345.522535 4.646596 0.000092
353.189636 4.645887 0.000092
360.856736 4.645178 0.000092
368.523837 4.644469 0.000092
376.190938 4.643760 0.000092
383.858039 4.643051 0.000092
391.525140 4.642342 0.000093
399.192240 4.641633 0.000093
406.859341 4.640923 0.000093
414.526442 4.640214 0.000093
422.193543 4.639504 0.000093
429.860643 4.638794 0.000093
437.527744 4.638084 0.000093
445.194845 4.637375 0.000093
452.861946 4.636665 0.000093
460.529047 4.635954 0.000093
468.196147 4.635244 0.000093
475.863248 4.634534 0.000093
483.530349 4.633824 0.000093
491.197450 4.633113 0.000093
498.864550 4.632402 0.000093
506.531651 4.631692 0.000093
514.198752 4.630981 0.000093
521.865853 4.630270 0.000093
529.532953 4.629559 0.000093
537.200054 4.628848 0.000093
544.867155 4.628137 0.000093
552.534256 4.627425 0.000093
560.201357 4.626714 0.000093
567.868457 4.626003 0.000093
575.535558 4.625291 0.000093
583.202659 4.624579 0.000093
590.869760 4.623867 0.000093
598.536860 4.623156 0.000093
606.203961 4.622444 0.000093
613.871062 4.621731 0.000093
621.538163 4.621019 0.000093
629.205264 4.620307 0.000093
636.872364 4.619595 0.000093
644.539465 4.618882 0.000093
652.206566 4.618169 0.000093
659.873667 4.617457 0.000093
667.540767 4.616744 0.000093
675.207868 4.616031 0.000093
682.874969 4.615318 0.000093
690.542070 4.614605 0.000093
698.209171 4.613892 0.000093
705.876271 4.613178 0.000093
713.543372 4.612465 0.000093
721.210473 4.611751 0.000093
