# filename pressure_mbar thickness_mm thickness_um source peak_channel sys_uncertainty stat_uncertainty total_uncertainty model energy_MeV energy_sys_unc energy_stat_unc energy_calib_unc energy_total_unc
T0_00353ar4.txt 0.0035 0.000503 0.503 th 1499.735 3.347 6.349 7.177 ensemble 5.694 0.010 0.020 0.003 0.023
T14_2ar4.txt 14.2000 2.025068 2025.068 th 1431.353 0.458 1.369 1.444 ensemble 4.480 0.001 0.004 0.002 0.005
T31_1ar4.txt 31.1000 4.435184 4435.184 th 1354.890 1.880 3.173 3.688 ensemble 4.240 0.006 0.010 0.002 0.012
T47_5ar4.txt 47.5000 6.773995 6773.995 th 1279.023 3.235 3.326 4.639 ensemble 4.002 0.010 0.010 0.002 0.015
T60_4ar4.txt 60.4000 8.613669 8613.669 th 1218.265 0.622 2.248 2.333 ensemble 3.812 0.002 0.007 0.002 0.008
T71_9ar4.txt 71.9000 10.253689 10253.689 th 1162.776 2.949 8.153 8.670 ensemble 3.638 0.009 0.026 0.002 0.027
T84_6ar4.txt 84.6000 12.064841 12064.841 th 1098.343 5.353 2.042 5.730 ensemble 3.436 0.017 0.006 0.002 0.018
T96_8ar4.txt 96.8000 13.804688 13804.688 th 1029.550 0.251 7.758 7.762 ensemble 3.221 0.001 0.024 0.002 0.024
T110ar4.txt 110.0000 15.687145 15687.145 th 945.394 0.022 10.559 10.559 ensemble 2.957 0.000 0.033 0.002 0.033
T144ar4.txt 144.0000 20.535899 20535.899 th 739.018 4.321 6.206 7.563 ensemble 2.311 0.014 0.019 0.002 0.024
T168ar4.txt 168.0000 23.958549 23958.549 th 564.328 0.002 1.253 1.253 ensemble 1.764 0.000 0.004 0.002 0.004
T179ar4.txt 179.0000 25.527264 25527.264 th 479.406 1.187 14.042 14.092 ensemble 1.498 0.004 0.044 0.001 0.044
T204ar4.txt 204.0000 29.092524 29092.524 th 281.844 0.525 7.530 7.549 ensemble 0.879 0.002 0.024 0.001 0.024
T215ar4.txt 215.0000 30.661239 30661.239 th 196.286 1.631 18.415 18.487 ensemble 0.611 0.005 0.058 0.001 0.058
