# pressure_mbar thickness_mm thickness_um source avg_peak_channel avg_sys_unc avg_stat_unc avg_total_unc n_trials avg_energy_MeV energy_sys_unc energy_stat_unc energy_calib_unc energy_total_unc
0.0035 0.000503 0.503 th 1499.735 3.347 7.177 7.919 1 4.694 0.010 0.022 0.003 0.025
14.2000 2.025068 2025.068 th 1431.353 0.458 1.444 1.515 1 4.480 0.001 0.005 0.002 0.005
31.1000 4.435184 4435.184 th 1354.890 1.880 3.688 4.139 1 4.240 0.006 0.012 0.002 0.013
47.5000 6.773995 6773.995 th 1279.023 3.235 4.639 5.656 1 4.002 0.010 0.015 0.002 0.018
60.4000 8.613669 8613.669 th 1218.265 0.622 2.333 2.415 1 3.812 0.002 0.007 0.002 0.008
71.9000 10.253689 10253.689 th 1162.776 2.949 8.670 9.158 1 3.638 0.009 0.027 0.002 0.029
84.6000 12.064841 12064.841 th 1098.343 5.353 5.730 7.841 1 3.436 0.017 0.018 0.002 0.025
96.8000 13.804688 13804.688 th 1029.550 0.251 7.762 7.766 1 3.221 0.001 0.024 0.002 0.024
110.0000 15.687145 15687.145 th 945.394 0.022 10.559 10.559 1 2.957 0.000 0.033 0.002 0.033
144.0000 20.535899 20535.899 th 739.018 4.321 7.563 8.710 1 2.311 0.014 0.024 0.002 0.027
168.0000 23.958549 23958.549 th 564.328 0.002 1.253 1.253 1 1.764 0.000 0.004 0.002 0.004
179.0000 25.527264 25527.264 th 479.406 1.187 14.092 14.142 1 1.498 0.004 0.044 0.001 0.044
204.0000 29.092524 29092.524 th 281.844 0.525 7.549 7.567 1 0.879 0.002 0.024 0.001 0.024
215.0000 30.661239 30661.239 th 196.286 1.631 18.487 18.559 1 0.611 0.005 0.058 0.001 0.058
