# x_um E_MeV dEdx_MeV_per_um
0.503000 4.685381 0.000019
36.342700 4.684713 0.000019
72.182400 4.684044 0.000019
108.022101 4.683376 0.000019
143.861801 4.682708 0.000019
179.701501 4.682039 0.000019
215.541201 4.681371 0.000019
251.380901 4.680703 0.000019
287.220601 4.680035 0.000019
323.060302 4.679367 0.000019
358.900002 4.678699 0.000019
394.739702 4.678031 0.000019
430.579402 4.677363 0.000019
466.419102 4.676695 0.000019
502.258802 4.676027 0.000019
538.098503 4.675359 0.000019
573.938203 4.674691 0.000019
609.777903 4.674023 0.000019
645.617603 4.673356 0.000019
681.457303 4.672688 0.000019
717.297004 4.672020 0.000019
753.136704 4.671353 0.000019
788.976404 4.670685 0.000019
824.816104 4.670018 0.000019
860.655804 4.669350 0.000019
896.495504 4.668682 0.000019
932.335205 4.668015 0.000019
968.174905 4.667348 0.000019
1004.014605 4.666680 0.000019
1039.854305 4.666013 0.000019
1075.694005 4.665345 0.000019
1111.533705 4.664678 0.000019
1147.373406 4.664011 0.000019
1183.213106 4.663344 0.000019
1219.052806 4.662677 0.000019
1254.892506 4.662009 0.000019
1290.732206 4.661342 0.000019
1326.571906 4.660675 0.000019
1362.411607 4.660008 0.000019
1398.251307 4.659341 0.000019
1434.091007 4.658674 0.000019
1469.930707 4.658007 0.000019
1505.770407 4.657340 0.000019
1541.610108 4.656673 0.000019
1577.449808 4.656007 0.000019
1613.289508 4.655340 0.000019
1649.129208 4.654673 0.000019
1684.968908 4.654006 0.000019
1720.808608 4.653340 0.000019
1756.648309 4.652673 0.000019
1792.488009 4.652006 0.000019
1828.327709 4.651340 0.000019
1864.167409 4.650673 0.000019
1900.007109 4.650007 0.000019
1935.846809 4.649340 0.000019
1971.686510 4.648674 0.000019
2007.526210 4.648007 0.000019
2043.365910 4.647341 0.000019
2079.205610 4.646674 0.000019
2115.045310 4.646008 0.000019
2150.885011 4.645342 0.000019
2186.724711 4.644675 0.000019
2222.564411 4.644009 0.000019
2258.404111 4.643343 0.000019
2294.243811 4.642677 0.000019
2330.083511 4.642011 0.000019
2365.923212 4.641344 0.000019
2401.762912 4.640678 0.000019
2437.602612 4.640012 0.000019
2473.442312 4.639346 0.000019
2509.282012 4.638680 0.000019
2545.121712 4.638014 0.000019
2580.961413 4.637348 0.000019
2616.801113 4.636682 0.000019
2652.640813 4.636016 0.000019
2688.480513 4.635351 0.000019
2724.320213 4.634685 0.000019
2760.159913 4.634019 0.000019
2795.999614 4.633353 0.000019
2831.839314 4.632688 0.000019
2867.679014 4.632022 0.000019
2903.518714 4.631356 0.000019
2939.358414 4.630690 0.000019
2975.198115 4.630025 0.000019
3011.037815 4.629359 0.000019
3046.877515 4.628694 0.000019
3082.717215 4.628028 0.000019
3118.556915 4.627363 0.000019
3154.396615 4.626697 0.000019
3190.236316 4.626032 0.000019
3226.076016 4.625366 0.000019
3261.915716 4.624701 0.000019
3297.755416 4.624036 0.000019
3333.595116 4.623370 0.000019
3369.434816 4.622705 0.000019
3405.274517 4.622040 0.000019
3441.114217 4.621374 0.000019
3476.953917 4.620709 0.000019
3512.793617 4.620044 0.000019
3548.633317 4.619379 0.000019
3584.473018 4.618714 0.000019
3620.312718 4.618049 0.000019
3656.152418 4.617384 0.000019
3691.992118 4.616718 0.000019
3727.831818 4.616053 0.000019
3763.671518 4.615388 0.000019
3799.511219 4.614723 0.000019
3835.350919 4.614058 0.000019
3871.190619 4.613394 0.000019
3907.030319 4.612729 0.000019
3942.870019 4.612064 0.000019
3978.709719 4.611399 0.000019
4014.549420 4.610734 0.000019
4050.389120 4.610069 0.000019
4086.228820 4.609405 0.000019
4122.068520 4.608740 0.000019
4157.908220 4.608075 0.000019
4193.747920 4.607410 0.000019
4229.587621 4.606746 0.000019
4265.427321 4.606081 0.000019
4301.267021 4.605416 0.000019
4337.106721 4.604752 0.000019
4372.946421 4.604087 0.000019
4408.786122 4.603423 0.000019
4444.625822 4.602758 0.000019
4480.465522 4.602094 0.000019
4516.305222 4.601429 0.000019
4552.144922 4.600765 0.000019
4587.984622 4.600100 0.000019
4623.824323 4.599436 0.000019
4659.664023 4.598772 0.000019
4695.503723 4.598107 0.000019
4731.343423 4.597443 0.000019
4767.183123 4.596779 0.000019
4803.022823 4.596114 0.000019
4838.862524 4.595450 0.000019
4874.702224 4.594786 0.000019
4910.541924 4.594122 0.000019
4946.381624 4.593457 0.000019
4982.221324 4.592793 0.000019
5018.061025 4.592129 0.000019
5053.900725 4.591465 0.000019
5089.740425 4.590801 0.000019
5125.580125 4.590137 0.000019
5161.419825 4.589473 0.000019
5197.259525 4.588809 0.000019
5233.099226 4.588145 0.000019
5268.938926 4.587481 0.000019
5304.778626 4.586817 0.000019
5340.618326 4.586153 0.000019
5376.458026 4.585489 0.000019
5412.297726 4.584825 0.000019
5448.137427 4.584161 0.000019
5483.977127 4.583497 0.000019
5519.816827 4.582833 0.000019
5555.656527 4.582169 0.000019
5591.496227 4.581506 0.000019
5627.335927 4.580842 0.000019
5663.175628 4.580178 0.000019
5699.015328 4.579514 0.000019
5734.855028 4.578851 0.000019
5770.694728 4.578187 0.000019
5806.534428 4.577523 0.000019
5842.374129 4.576860 0.000019
5878.213829 4.576196 0.000019
5914.053529 4.575532 0.000019
5949.893229 4.574869 0.000019
5985.732929 4.574205 0.000019
6021.572629 4.573541 0.000019
6057.412330 4.572878 0.000019
6093.252030 4.572214 0.000019
6129.091730 4.571551 0.000019
6164.931430 4.570887 0.000019
6200.771130 4.570224 0.000019
6236.610830 4.569560 0.000019
6272.450531 4.568897 0.000019
6308.290231 4.568234 0.000019
6344.129931 4.567570 0.000019
6379.969631 4.566907 0.000019
6415.809331 4.566243 0.000019
6451.649032 4.565580 0.000019
6487.488732 4.564917 0.000019
6523.328432 4.564253 0.000019
6559.168132 4.563590 0.000019
6595.007832 4.562927 0.000019
6630.847532 4.562264 0.000019
6666.687233 4.561600 0.000019
6702.526933 4.560937 0.000019
