# filename pressure_mbar thickness_mm thickness_um source peak_channel sys_uncertainty stat_uncertainty total_uncertainty model energy_MeV energy_sys_unc energy_stat_unc energy_calib_unc energy_total_unc
T0_00353he4.txt 0.0035 0.000503 0.503 th 1499.046 3.142 4.939 5.854 ensemble 4.692 0.010 0.015 0.003 0.019
T140he4.txt 140.0000 19.965458 19965.458 th 1372.334 2.171 1.755 2.792 ensemble 4.295 0.007 0.005 0.002 0.009
T215he4.txt 215.0000 30.661239 30661.239 th 1315.227 3.277 3.680 4.928 ensemble 4.116 0.010 0.012 0.002 0.016
T276he4.txt 276.0000 39.360474 39360.474 th 1262.817 5.915 3.586 6.917 ensemble 3.952 0.019 0.011 0.002 0.022
T344he4.txt 344.0000 49.057982 49057.982 th 1208.850 0.797 4.088 4.165 ensemble 3.783 0.002 0.013 0.002 0.013
T418he4.txt 418.0000 59.611152 59611.152 th 1129.561 3.761 5.031 6.282 ensemble 3.534 0.012 0.016 0.002 0.020
T506he4.txt 506.0000 72.160868 72160.868 th 1037.673 2.923 3.404 4.487 ensemble 3.246 0.009 0.011 0.002 0.014
T568he4.txt 568.0000 81.002714 81002.714 th 974.172 3.853 5.177 6.454 ensemble 3.048 0.012 0.016 0.002 0.020
T617he4.txt 617.0000 87.990624 87990.624 th 918.909 1.806 2.764 3.302 ensemble 2.874 0.006 0.009 0.002 0.011
T660he4.txt 660.0000 94.122872 94122.872 th 862.256 1.368 9.229 9.330 ensemble 2.697 0.004 0.029 0.002 0.029
T700he4.txt 700.0000 99.827288 99827.288 th 815.410 1.485 1.660 2.227 ensemble 2.550 0.005 0.005 0.002 0.007
T752he4.txt 752.0000 107.243030 107243.030 th 745.473 3.420 4.402 5.574 ensemble 2.331 0.011 0.014 0.002 0.018
T800he4.txt 800.0000 114.088330 114088.330 th 685.501 0.901 3.690 3.798 ensemble 2.143 0.003 0.012 0.002 0.012
T849he4.txt 849.0000 121.076240 121076.240 th 607.957 5.147 7.054 8.732 ensemble 1.901 0.016 0.022 0.002 0.027
T903he4.txt 903.0000 128.777202 128777.202 th 515.882 0.151 4.066 4.069 ensemble 1.612 0.000 0.013 0.001 0.013
T1005he4.txt 1005.0000 143.323464 143323.464 th 343.903 1.670 8.287 8.454 ensemble 1.073 0.005 0.026 0.001 0.027
