# pressure_mbar thickness_mm thickness_um source avg_peak_channel avg_sys_unc avg_stat_unc avg_total_unc n_trials avg_energy_MeV energy_sys_unc energy_stat_unc energy_calib_unc energy_total_unc
0.0035 0.000503 0.503 th 1499.046 3.142 5.854 6.644 1 4.692 0.010 0.018 0.003 0.021
140.0000 19.965458 19965.458 th 1372.334 2.171 2.792 3.537 1 4.295 0.007 0.009 0.002 0.011
215.0000 30.661239 30661.239 th 1315.227 3.277 4.928 5.918 1 4.116 0.010 0.015 0.002 0.019
276.0000 39.360474 39360.474 th 1262.817 5.915 6.917 9.102 1 3.952 0.019 0.022 0.002 0.029
344.0000 49.057982 49057.982 th 1208.850 0.797 4.165 4.240 1 3.783 0.002 0.013 0.002 0.013
418.0000 59.611152 59611.152 th 1129.561 3.761 6.282 7.322 1 3.534 0.012 0.020 0.002 0.023
506.0000 72.160868 72160.868 th 1037.673 2.923 4.487 5.355 1 3.246 0.009 0.014 0.002 0.017
568.0000 81.002714 81002.714 th 974.172 3.853 6.454 7.517 1 3.048 0.012 0.020 0.002 0.024
617.0000 87.990624 87990.624 th 918.909 1.806 3.302 3.763 1 2.874 0.006 0.010 0.002 0.012
660.0000 94.122872 94122.872 th 862.256 1.368 9.330 9.430 1 2.697 0.004 0.029 0.002 0.030
700.0000 99.827288 99827.288 th 815.410 1.485 2.227 2.677 1 2.550 0.005 0.007 0.002 0.009
752.0000 107.243030 107243.030 th 745.473 3.420 5.574 6.539 1 2.331 0.011 0.017 0.002 0.021
800.0000 114.088330 114088.330 th 685.501 0.901 3.798 3.904 1 2.143 0.003 0.012 0.002 0.012
849.0000 121.076240 121076.240 th 607.957 5.147 8.732 10.136 1 1.901 0.016 0.027 0.002 0.032
903.0000 128.777202 128777.202 th 515.882 0.151 4.069 4.072 1 1.612 0.000 0.013 0.001 0.013
1005.0000 143.323464 143323.464 th 343.903 1.670 8.454 8.617 1 1.073 0.005 0.026 0.001 0.027
