# x_um E_MeV dEdx_MeV_per_um
2.225000 5.301726 0.000073
13.029884 5.300934 0.000073
23.834767 5.300143 0.000073
34.639651 5.299351 0.000073
45.444535 5.298559 0.000073
56.249419 5.297768 0.000073
67.054302 5.296976 0.000073
77.859186 5.296185 0.000073
88.664070 5.295393 0.000073
99.468953 5.294602 0.000073
110.273837 5.293810 0.000073
121.078721 5.293019 0.000073
131.883605 5.292228 0.000073
142.688488 5.291437 0.000073
153.493372 5.290645 0.000073
164.298256 5.289854 0.000073
175.103140 5.289063 0.000073
185.908023 5.288272 0.000073
196.712907 5.287481 0.000073
207.517791 5.286690 0.000073
218.322674 5.285899 0.000073
229.127558 5.285108 0.000073
239.932442 5.284317 0.000073
250.737326 5.283526 0.000073
261.542209 5.282735 0.000073
272.347093 5.281945 0.000073
283.151977 5.281154 0.000073
293.956860 5.280363 0.000073
304.761744 5.279572 0.000073
315.566628 5.278782 0.000073
326.371512 5.277991 0.000073
337.176395 5.277201 0.000073
347.981279 5.276410 0.000073
358.786163 5.275620 0.000073
369.591047 5.274829 0.000073
380.395930 5.274039 0.000073
391.200814 5.273249 0.000073
402.005698 5.272458 0.000073
412.810581 5.271668 0.000073
423.615465 5.270878 0.000073
434.420349 5.270087 0.000073
445.225233 5.269297 0.000073
456.030116 5.268507 0.000073
466.835000 5.267717 0.000073
477.639884 5.266927 0.000073
488.444767 5.266137 0.000073
499.249651 5.265347 0.000073
510.054535 5.264557 0.000073
520.859419 5.263767 0.000073
531.664302 5.262977 0.000073
542.469186 5.262187 0.000073
553.274070 5.261398 0.000073
564.078953 5.260608 0.000073
574.883837 5.259818 0.000073
585.688721 5.259029 0.000073
596.493605 5.258239 0.000073
607.298488 5.257449 0.000073
618.103372 5.256660 0.000073
628.908256 5.255870 0.000073
639.713140 5.255081 0.000073
650.518023 5.254291 0.000073
661.322907 5.253502 0.000073
672.127791 5.252712 0.000073
682.932674 5.251923 0.000073
693.737558 5.251134 0.000073
704.542442 5.250344 0.000073
715.347326 5.249555 0.000073
726.152209 5.248766 0.000073
736.957093 5.247977 0.000073
747.761977 5.247187 0.000073
758.566860 5.246398 0.000073
769.371744 5.245609 0.000073
780.176628 5.244820 0.000073
790.981512 5.244031 0.000073
801.786395 5.243242 0.000073
812.591279 5.242453 0.000073
823.396163 5.241664 0.000073
834.201047 5.240875 0.000073
845.005930 5.240086 0.000073
855.810814 5.239298 0.000073
866.615698 5.238509 0.000073
877.420581 5.237720 0.000073
888.225465 5.236931 0.000073
899.030349 5.236143 0.000073
909.835233 5.235354 0.000073
920.640116 5.234565 0.000073
931.445000 5.233777 0.000073
942.249884 5.232988 0.000073
953.054767 5.232200 0.000073
963.859651 5.231411 0.000073
974.664535 5.230623 0.000073
985.469419 5.229834 0.000073
996.274302 5.229046 0.000073
1007.079186 5.228257 0.000073
1017.884070 5.227469 0.000073
1028.688953 5.226681 0.000073
1039.493837 5.225892 0.000073
1050.298721 5.225104 0.000073
1061.103605 5.224316 0.000073
1071.908488 5.223528 0.000073
1082.713372 5.222739 0.000073
1093.518256 5.221951 0.000073
1104.323140 5.221163 0.000073
1115.128023 5.220375 0.000073
1125.932907 5.219587 0.000073
1136.737791 5.218799 0.000073
1147.542674 5.218011 0.000073
1158.347558 5.217223 0.000073
1169.152442 5.216435 0.000073
1179.957326 5.215647 0.000073
1190.762209 5.214859 0.000073
1201.567093 5.214072 0.000073
1212.371977 5.213284 0.000073
1223.176860 5.212496 0.000073
1233.981744 5.211708 0.000073
1244.786628 5.210920 0.000073
1255.591512 5.210133 0.000073
1266.396395 5.209345 0.000073
1277.201279 5.208557 0.000073
1288.006163 5.207770 0.000073
1298.811047 5.206982 0.000073
1309.615930 5.206195 0.000073
1320.420814 5.205407 0.000073
1331.225698 5.204620 0.000073
1342.030581 5.203832 0.000073
1352.835465 5.203045 0.000073
1363.640349 5.202257 0.000073
1374.445233 5.201470 0.000073
1385.250116 5.200682 0.000073
1396.055000 5.199895 0.000073
1406.859884 5.199108 0.000073
1417.664767 5.198320 0.000073
1428.469651 5.197533 0.000073
1439.274535 5.196746 0.000073
1450.079419 5.195959 0.000073
1460.884302 5.195171 0.000073
1471.689186 5.194384 0.000073
1482.494070 5.193597 0.000073
1493.298953 5.192810 0.000073
1504.103837 5.192023 0.000073
1514.908721 5.191236 0.000073
1525.713605 5.190449 0.000073
1536.518488 5.189662 0.000073
1547.323372 5.188875 0.000073
1558.128256 5.188088 0.000073
1568.933140 5.187301 0.000073
1579.738023 5.186514 0.000073
1590.542907 5.185727 0.000073
1601.347791 5.184940 0.000073
1612.152674 5.184153 0.000073
1622.957558 5.183366 0.000073
1633.762442 5.182580 0.000073
1644.567326 5.181793 0.000073
1655.372209 5.181006 0.000073
1666.177093 5.180219 0.000073
1676.981977 5.179433 0.000073
1687.786860 5.178646 0.000073
1698.591744 5.177859 0.000073
1709.396628 5.177073 0.000073
1720.201512 5.176286 0.000073
1731.006395 5.175499 0.000073
1741.811279 5.174713 0.000073
1752.616163 5.173926 0.000073
1763.421047 5.173140 0.000073
1774.225930 5.172353 0.000073
1785.030814 5.171567 0.000073
1795.835698 5.170780 0.000073
1806.640581 5.169994 0.000073
1817.445465 5.169207 0.000073
1828.250349 5.168421 0.000073
1839.055233 5.167635 0.000073
1849.860116 5.166848 0.000073
1860.665000 5.166062 0.000073
1871.469884 5.165275 0.000073
1882.274767 5.164489 0.000073
1893.079651 5.163703 0.000073
1903.884535 5.162917 0.000073
1914.689419 5.162130 0.000073
1925.494302 5.161344 0.000073
1936.299186 5.160558 0.000073
1947.104070 5.159772 0.000073
1957.908953 5.158986 0.000073
1968.713837 5.158200 0.000073
1979.518721 5.157413 0.000073
1990.323605 5.156627 0.000073
2001.128488 5.155841 0.000073
2011.933372 5.155055 0.000073
2022.738256 5.154269 0.000073
2033.543140 5.153483 0.000073
2044.348023 5.152697 0.000073
2055.152907 5.151911 0.000073
2065.957791 5.151125 0.000073
2076.762674 5.150339 0.000073
2087.567558 5.149553 0.000073
2098.372442 5.148767 0.000073
2109.177326 5.147981 0.000073
2119.982209 5.147196 0.000073
2130.787093 5.146410 0.000073
2141.591977 5.145624 0.000073
2152.396860 5.144838 0.000073
2163.201744 5.144052 0.000073
2174.006628 5.143266 0.000073
2184.811512 5.142481 0.000073
2195.616395 5.141695 0.000073
2206.421279 5.140909 0.000073
2217.226163 5.140123 0.000073
2228.031047 5.139338 0.000073
2238.835930 5.138552 0.000073
2249.640814 5.137766 0.000073
2260.445698 5.136981 0.000073
2271.250581 5.136195 0.000073
2282.055465 5.135409 0.000073
2292.860349 5.134624 0.000073
2303.665233 5.133838 0.000073
2314.470116 5.133053 0.000073
2325.275000 5.132267 0.000073
2336.079884 5.131482 0.000073
2346.884767 5.130696 0.000073
2357.689651 5.129911 0.000073
2368.494535 5.129125 0.000073
2379.299419 5.128340 0.000073
2390.104302 5.127554 0.000073
2400.909186 5.126769 0.000073
2411.714070 5.125983 0.000073
2422.518953 5.125198 0.000073
2433.323837 5.124412 0.000073
2444.128721 5.123627 0.000073
2454.933605 5.122842 0.000073
2465.738488 5.122056 0.000073
