# x_um E_MeV dEdx_MeV_per_um
2.225000 5.612400 0.000066
13.029884 5.611683 0.000066
23.834767 5.610965 0.000066
34.639651 5.610247 0.000066
45.444535 5.609529 0.000066
56.249419 5.608811 0.000066
67.054302 5.608093 0.000066
77.859186 5.607375 0.000066
88.664070 5.606658 0.000066
99.468953 5.605940 0.000066
110.273837 5.605222 0.000066
121.078721 5.604504 0.000066
131.883605 5.603786 0.000066
142.688488 5.603068 0.000066
153.493372 5.602350 0.000066
164.298256 5.601632 0.000066
175.103140 5.600914 0.000066
185.908023 5.600196 0.000066
196.712907 5.599478 0.000066
207.517791 5.598760 0.000066
218.322674 5.598042 0.000066
229.127558 5.597324 0.000066
239.932442 5.596606 0.000066
250.737326 5.595888 0.000066
261.542209 5.595170 0.000066
272.347093 5.594451 0.000066
283.151977 5.593733 0.000066
293.956860 5.593015 0.000066
304.761744 5.592297 0.000066
315.566628 5.591579 0.000066
326.371512 5.590861 0.000066
337.176395 5.590142 0.000066
347.981279 5.589424 0.000066
358.786163 5.588706 0.000066
369.591047 5.587988 0.000066
380.395930 5.587269 0.000066
391.200814 5.586551 0.000066
402.005698 5.585833 0.000066
412.810581 5.585115 0.000066
423.615465 5.584396 0.000066
434.420349 5.583678 0.000066
445.225233 5.582960 0.000066
456.030116 5.582241 0.000066
466.835000 5.581523 0.000066
477.639884 5.580804 0.000066
488.444767 5.580086 0.000066
499.249651 5.579368 0.000066
510.054535 5.578649 0.000066
520.859419 5.577931 0.000066
531.664302 5.577212 0.000066
542.469186 5.576494 0.000066
553.274070 5.575775 0.000066
564.078953 5.575057 0.000067
574.883837 5.574338 0.000067
585.688721 5.573620 0.000067
596.493605 5.572901 0.000067
607.298488 5.572182 0.000067
618.103372 5.571464 0.000067
628.908256 5.570745 0.000067
639.713140 5.570026 0.000067
650.518023 5.569308 0.000067
661.322907 5.568589 0.000067
672.127791 5.567870 0.000067
682.932674 5.567152 0.000067
693.737558 5.566433 0.000067
704.542442 5.565714 0.000067
715.347326 5.564996 0.000067
726.152209 5.564277 0.000067
736.957093 5.563558 0.000067
747.761977 5.562839 0.000067
758.566860 5.562120 0.000067
769.371744 5.561401 0.000067
780.176628 5.560683 0.000067
790.981512 5.559964 0.000067
801.786395 5.559245 0.000067
812.591279 5.558526 0.000067
823.396163 5.557807 0.000067
834.201047 5.557088 0.000067
845.005930 5.556369 0.000067
855.810814 5.555650 0.000067
866.615698 5.554931 0.000067
877.420581 5.554212 0.000067
888.225465 5.553493 0.000067
899.030349 5.552774 0.000067
909.835233 5.552055 0.000067
920.640116 5.551336 0.000067
931.445000 5.550617 0.000067
942.249884 5.549897 0.000067
953.054767 5.549178 0.000067
963.859651 5.548459 0.000067
974.664535 5.547740 0.000067
985.469419 5.547021 0.000067
996.274302 5.546301 0.000067
1007.079186 5.545582 0.000067
1017.884070 5.544863 0.000067
1028.688953 5.544144 0.000067
1039.493837 5.543424 0.000067
1050.298721 5.542705 0.000067
1061.103605 5.541986 0.000067
1071.908488 5.541266 0.000067
1082.713372 5.540547 0.000067
1093.518256 5.539827 0.000067
1104.323140 5.539108 0.000067
1115.128023 5.538388 0.000067
1125.932907 5.537669 0.000067
1136.737791 5.536950 0.000067
1147.542674 5.536230 0.000067
1158.347558 5.535510 0.000067
1169.152442 5.534791 0.000067
1179.957326 5.534071 0.000067
1190.762209 5.533352 0.000067
1201.567093 5.532632 0.000067
1212.371977 5.531912 0.000067
1223.176860 5.531193 0.000067
1233.981744 5.530473 0.000067
1244.786628 5.529753 0.000067
1255.591512 5.529034 0.000067
1266.396395 5.528314 0.000067
1277.201279 5.527594 0.000067
1288.006163 5.526874 0.000067
1298.811047 5.526155 0.000067
1309.615930 5.525435 0.000067
1320.420814 5.524715 0.000067
1331.225698 5.523995 0.000067
1342.030581 5.523275 0.000067
1352.835465 5.522555 0.000067
1363.640349 5.521835 0.000067
1374.445233 5.521115 0.000067
1385.250116 5.520395 0.000067
1396.055000 5.519675 0.000067
1406.859884 5.518955 0.000067
1417.664767 5.518235 0.000067
1428.469651 5.517515 0.000067
1439.274535 5.516795 0.000067
1450.079419 5.516075 0.000067
1460.884302 5.515355 0.000067
1471.689186 5.514635 0.000067
1482.494070 5.513914 0.000067
1493.298953 5.513194 0.000067
1504.103837 5.512474 0.000067
1514.908721 5.511754 0.000067
1525.713605 5.511033 0.000067
1536.518488 5.510313 0.000067
1547.323372 5.509593 0.000067
1558.128256 5.508872 0.000067
1568.933140 5.508152 0.000067
1579.738023 5.507432 0.000067
1590.542907 5.506711 0.000067
1601.347791 5.505991 0.000067
1612.152674 5.505270 0.000067
1622.957558 5.504550 0.000067
1633.762442 5.503829 0.000067
1644.567326 5.503109 0.000067
1655.372209 5.502388 0.000067
1666.177093 5.501668 0.000067
1676.981977 5.500947 0.000067
1687.786860 5.500226 0.000067
1698.591744 5.499506 0.000067
1709.396628 5.498785 0.000067
1720.201512 5.498064 0.000067
1731.006395 5.497344 0.000067
1741.811279 5.496623 0.000067
1752.616163 5.495902 0.000067
1763.421047 5.495181 0.000067
1774.225930 5.494460 0.000067
1785.030814 5.493740 0.000067
1795.835698 5.493019 0.000067
1806.640581 5.492298 0.000067
1817.445465 5.491577 0.000067
1828.250349 5.490856 0.000067
1839.055233 5.490135 0.000067
1849.860116 5.489414 0.000067
1860.665000 5.488693 0.000067
1871.469884 5.487972 0.000067
1882.274767 5.487251 0.000067
1893.079651 5.486530 0.000067
1903.884535 5.485808 0.000067
1914.689419 5.485087 0.000067
1925.494302 5.484366 0.000067
1936.299186 5.483645 0.000067
1947.104070 5.482924 0.000067
1957.908953 5.482202 0.000067
1968.713837 5.481481 0.000067
1979.518721 5.480760 0.000067
1990.323605 5.480038 0.000067
2001.128488 5.479317 0.000067
2011.933372 5.478596 0.000067
2022.738256 5.477874 0.000067
2033.543140 5.477153 0.000067
2044.348023 5.476431 0.000067
2055.152907 5.475710 0.000067
2065.957791 5.474988 0.000067
2076.762674 5.474267 0.000067
2087.567558 5.473545 0.000067
2098.372442 5.472823 0.000067
2109.177326 5.472102 0.000067
2119.982209 5.471380 0.000067
2130.787093 5.470658 0.000067
2141.591977 5.469937 0.000067
2152.396860 5.469215 0.000067
2163.201744 5.468493 0.000067
2174.006628 5.467771 0.000067
2184.811512 5.467049 0.000067
2195.616395 5.466327 0.000067
2206.421279 5.465606 0.000067
2217.226163 5.464884 0.000067
2228.031047 5.464162 0.000067
2238.835930 5.463440 0.000067
2249.640814 5.462718 0.000067
2260.445698 5.461996 0.000067
2271.250581 5.461274 0.000067
2282.055465 5.460551 0.000067
2292.860349 5.459829 0.000067
2303.665233 5.459107 0.000067
2314.470116 5.458385 0.000067
2325.275000 5.457663 0.000067
2336.079884 5.456941 0.000067
2346.884767 5.456218 0.000067
2357.689651 5.455496 0.000067
2368.494535 5.454774 0.000067
2379.299419 5.454051 0.000067
2390.104302 5.453329 0.000067
2400.909186 5.452606 0.000067
2411.714070 5.451884 0.000067
2422.518953 5.451161 0.000067
2433.323837 5.450439 0.000067
2444.128721 5.449716 0.000067
2454.933605 5.448994 0.000067
2465.738488 5.448271 0.000067
2476.543372 5.447549 0.000067
2487.348256 5.446826 0.000067
2498.153140 5.446103 0.000067
2508.958023 5.445381 0.000067
2519.762907 5.444658 0.000067
2530.567791 5.443935 0.000067
2541.372674 5.443212 0.000067
2552.177558 5.442489 0.000067
2562.982442 5.441766 0.000067
2573.787326 5.441044 0.000067
2584.592209 5.440321 0.000067
2595.397093 5.439598 0.000067
2606.201977 5.438875 0.000067
2617.006860 5.438152 0.000067
2627.811744 5.437429 0.000067
2638.616628 5.436705 0.000067
2649.421512 5.435982 0.000067
2660.226395 5.435259 0.000067
2671.031279 5.434536 0.000067
2681.836163 5.433813 0.000067
2692.641047 5.433090 0.000067
2703.445930 5.432366 0.000067
2714.250814 5.431643 0.000067
2725.055698 5.430920 0.000067
2735.860581 5.430196 0.000067
2746.665465 5.429473 0.000067
2757.470349 5.428749 0.000067
2768.275233 5.428026 0.000067
2779.080116 5.427302 0.000067
2789.885000 5.426579 0.000067
2800.689884 5.425855 0.000067
2811.494767 5.425132 0.000067
2822.299651 5.424408 0.000067
2833.104535 5.423684 0.000067
2843.909419 5.422961 0.000067
2854.714302 5.422237 0.000067
2865.519186 5.421513 0.000067
2876.324070 5.420789 0.000067
2887.128953 5.420066 0.000067
2897.933837 5.419342 0.000067
2908.738721 5.418618 0.000067
2919.543605 5.417894 0.000067
2930.348488 5.417170 0.000067
2941.153372 5.416446 0.000067
2951.958256 5.415722 0.000067
2962.763140 5.414998 0.000067
2973.568023 5.414274 0.000067
2984.372907 5.413549 0.000067
2995.177791 5.412825 0.000067
3005.982674 5.412101 0.000067
3016.787558 5.411377 0.000067
3027.592442 5.410653 0.000067
3038.397326 5.409928 0.000067
3049.202209 5.409204 0.000067
3060.007093 5.408480 0.000067
3070.811977 5.407755 0.000067
3081.616860 5.407031 0.000067
3092.421744 5.406306 0.000067
3103.226628 5.405582 0.000067
3114.031512 5.404857 0.000067
3124.836395 5.404133 0.000067
3135.641279 5.403408 0.000067
3146.446163 5.402683 0.000067
3157.251047 5.401959 0.000067
3168.055930 5.401234 0.000067
3178.860814 5.400509 0.000067
3189.665698 5.399784 0.000067
3200.470581 5.399060 0.000067
3211.275465 5.398335 0.000067
3222.080349 5.397610 0.000067
3232.885233 5.396885 0.000067
3243.690116 5.396160 0.000067
3254.495000 5.395435 0.000067
3265.299884 5.394710 0.000067
3276.104767 5.393985 0.000067
3286.909651 5.393260 0.000067
3297.714535 5.392534 0.000067
3308.519419 5.391809 0.000067
3319.324302 5.391084 0.000067
3330.129186 5.390359 0.000067
3340.934070 5.389633 0.000067
3351.738953 5.388908 0.000067
3362.543837 5.388183 0.000067
3373.348721 5.387457 0.000067
3384.153605 5.386732 0.000067
3394.958488 5.386006 0.000067
3405.763372 5.385281 0.000067
3416.568256 5.384555 0.000067
3427.373140 5.383830 0.000067
3438.178023 5.383104 0.000067
3448.982907 5.382378 0.000067
3459.787791 5.381653 0.000067
3470.592674 5.380927 0.000067
3481.397558 5.380201 0.000067
3492.202442 5.379475 0.000067
3503.007326 5.378749 0.000067
3513.812209 5.378024 0.000067
3524.617093 5.377298 0.000067
3535.421977 5.376572 0.000067
3546.226860 5.375846 0.000067
3557.031744 5.375120 0.000067
3567.836628 5.374394 0.000067
3578.641512 5.373667 0.000067
3589.446395 5.372941 0.000067
3600.251279 5.372215 0.000067
3611.056163 5.371489 0.000067
3621.861047 5.370763 0.000067
3632.665930 5.370036 0.000067
3643.470814 5.369310 0.000067
3654.275698 5.368584 0.000067
3665.080581 5.367857 0.000067
3675.885465 5.367131 0.000067
3686.690349 5.366404 0.000067
3697.495233 5.365678 0.000067
3708.300116 5.364951 0.000067
3719.105000 5.364224 0.000067
3729.909884 5.363498 0.000067
3740.714767 5.362771 0.000067
3751.519651 5.362044 0.000067
3762.324535 5.361317 0.000067
3773.129419 5.360591 0.000067
3783.934302 5.359864 0.000067
3794.739186 5.359137 0.000067
3805.544070 5.358410 0.000067
3816.348953 5.357683 0.000067
3827.153837 5.356956 0.000067
3837.958721 5.356229 0.000067
3848.763605 5.355502 0.000067
3859.568488 5.354775 0.000067
3870.373372 5.354047 0.000067
3881.178256 5.353320 0.000067
3891.983140 5.352593 0.000067
3902.788023 5.351866 0.000067
3913.592907 5.351138 0.000067
3924.397791 5.350411 0.000067
3935.202674 5.349683 0.000067
3946.007558 5.348956 0.000067
3956.812442 5.348228 0.000067
3967.617326 5.347501 0.000067
3978.422209 5.346773 0.000067
3989.227093 5.346046 0.000067
4000.031977 5.345318 0.000067
4010.836860 5.344590 0.000067
4021.641744 5.343863 0.000067
4032.446628 5.343135 0.000067
4043.251512 5.342407 0.000067
4054.056395 5.341679 0.000067
4064.861279 5.340951 0.000067
4075.666163 5.340223 0.000067
4086.471047 5.339495 0.000067
4097.275930 5.338767 0.000067
4108.080814 5.338039 0.000067
4118.885698 5.337311 0.000067
4129.690581 5.336583 0.000067
4140.495465 5.335854 0.000067
4151.300349 5.335126 0.000067
4162.105233 5.334398 0.000067
4172.910116 5.333670 0.000067
4183.715000 5.332941 0.000067
4194.519884 5.332213 0.000067
4205.324767 5.331484 0.000067
4216.129651 5.330756 0.000067
4226.934535 5.330027 0.000067
4237.739419 5.329299 0.000067
4248.544302 5.328570 0.000067
4259.349186 5.327841 0.000067
4270.154070 5.327112 0.000067
4280.958953 5.326384 0.000067
4291.763837 5.325655 0.000067
4302.568721 5.324926 0.000067
4313.373605 5.324197 0.000067
4324.178488 5.323468 0.000067
4334.983372 5.322739 0.000067
4345.788256 5.322010 0.000067
4356.593140 5.321281 0.000067
4367.398023 5.320552 0.000067
4378.202907 5.319823 0.000067
4389.007791 5.319094 0.000067
4399.812674 5.318364 0.000067
4410.617558 5.317635 0.000067
4421.422442 5.316906 0.000068
4432.227326 5.316176 0.000068
4443.032209 5.315447 0.000068
4453.837093 5.314717 0.000068
4464.641977 5.313988 0.000068
4475.446860 5.313258 0.000068
4486.251744 5.312529 0.000068
4497.056628 5.311799 0.000068
4507.861512 5.311069 0.000068
4518.666395 5.310339 0.000068
4529.471279 5.309610 0.000068
4540.276163 5.308880 0.000068
4551.081047 5.308150 0.000068
4561.885930 5.307420 0.000068
4572.690814 5.306690 0.000068
4583.495698 5.305960 0.000068
4594.300581 5.305230 0.000068
4605.105465 5.304500 0.000068
4615.910349 5.303770 0.000068
4626.715233 5.303039 0.000068
4637.520116 5.302309 0.000068
4648.325000 5.301579 0.000068
4659.129884 5.300849 0.000068
4669.934767 5.300118 0.000068
4680.739651 5.299388 0.000068
4691.544535 5.298657 0.000068
4702.349419 5.297927 0.000068
4713.154302 5.297196 0.000068
4723.959186 5.296466 0.000068
4734.764070 5.295735 0.000068
4745.568953 5.295004 0.000068
4756.373837 5.294273 0.000068
4767.178721 5.293543 0.000068
4777.983605 5.292812 0.000068
4788.788488 5.292081 0.000068
4799.593372 5.291350 0.000068
