# x_um E_MeV dEdx_MeV_per_um
2.225000 4.973461 0.000081
13.029884 4.972586 0.000081
23.834767 4.971711 0.000081
34.639651 4.970836 0.000081
45.444535 4.969961 0.000081
56.249419 4.969087 0.000081
67.054302 4.968213 0.000081
77.859186 4.967338 0.000081
88.664070 4.966464 0.000081
99.468953 4.965590 0.000081
110.273837 4.964716 0.000081
121.078721 4.963843 0.000081
131.883605 4.962969 0.000081
142.688488 4.962096 0.000081
153.493372 4.961222 0.000081
164.298256 4.960349 0.000081
175.103140 4.959476 0.000081
185.908023 4.958603 0.000081
196.712907 4.957730 0.000081
207.517791 4.956858 0.000081
218.322674 4.955985 0.000081
229.127558 4.955113 0.000081
239.932442 4.954240 0.000081
250.737326 4.953368 0.000081
261.542209 4.952496 0.000081
272.347093 4.951624 0.000081
283.151977 4.950752 0.000081
293.956860 4.949881 0.000081
304.761744 4.949009 0.000081
315.566628 4.948138 0.000081
326.371512 4.947266 0.000081
337.176395 4.946395 0.000081
347.981279 4.945524 0.000081
358.786163 4.944653 0.000081
369.591047 4.943783 0.000081
380.395930 4.942912 0.000081
391.200814 4.942041 0.000081
402.005698 4.941171 0.000081
412.810581 4.940301 0.000081
423.615465 4.939431 0.000081
434.420349 4.938560 0.000081
445.225233 4.937691 0.000081
456.030116 4.936821 0.000080
466.835000 4.935951 0.000080
477.639884 4.935082 0.000080
488.444767 4.934212 0.000080
499.249651 4.933343 0.000080
510.054535 4.932474 0.000080
520.859419 4.931605 0.000080
531.664302 4.930736 0.000080
542.469186 4.929867 0.000080
553.274070 4.928998 0.000080
564.078953 4.928130 0.000080
574.883837 4.927261 0.000080
585.688721 4.926393 0.000080
596.493605 4.925525 0.000080
607.298488 4.924657 0.000080
618.103372 4.923789 0.000080
628.908256 4.922921 0.000080
639.713140 4.922053 0.000080
650.518023 4.921186 0.000080
661.322907 4.920318 0.000080
672.127791 4.919451 0.000080
682.932674 4.918583 0.000080
693.737558 4.917716 0.000080
704.542442 4.916849 0.000080
715.347326 4.915982 0.000080
726.152209 4.915116 0.000080
736.957093 4.914249 0.000080
747.761977 4.913383 0.000080
758.566860 4.912516 0.000080
769.371744 4.911650 0.000080
780.176628 4.910784 0.000080
790.981512 4.909918 0.000080
801.786395 4.909052 0.000080
812.591279 4.908186 0.000080
823.396163 4.907320 0.000080
834.201047 4.906455 0.000080
845.005930 4.905589 0.000080
855.810814 4.904724 0.000080
866.615698 4.903858 0.000080
877.420581 4.902993 0.000080
888.225465 4.902128 0.000080
899.030349 4.901263 0.000080
909.835233 4.900399 0.000080
920.640116 4.899534 0.000080
931.445000 4.898669 0.000080
942.249884 4.897805 0.000080
953.054767 4.896941 0.000080
963.859651 4.896076 0.000080
974.664535 4.895212 0.000080
985.469419 4.894348 0.000080
996.274302 4.893484 0.000080
1007.079186 4.892621 0.000080
1017.884070 4.891757 0.000080
1028.688953 4.890893 0.000080
1039.493837 4.890030 0.000080
1050.298721 4.889167 0.000080
1061.103605 4.888303 0.000080
1071.908488 4.887440 0.000080
1082.713372 4.886577 0.000080
1093.518256 4.885715 0.000080
1104.323140 4.884852 0.000080
1115.128023 4.883989 0.000080
1125.932907 4.883127 0.000080
1136.737791 4.882264 0.000080
1147.542674 4.881402 0.000080
1158.347558 4.880540 0.000080
1169.152442 4.879678 0.000080
1179.957326 4.878816 0.000080
1190.762209 4.877954 0.000080
1201.567093 4.877092 0.000080
1212.371977 4.876230 0.000080
1223.176860 4.875369 0.000080
1233.981744 4.874507 0.000080
1244.786628 4.873646 0.000080
1255.591512 4.872785 0.000080
1266.396395 4.871923 0.000080
1277.201279 4.871062 0.000080
1288.006163 4.870202 0.000080
1298.811047 4.869341 0.000080
1309.615930 4.868480 0.000080
1320.420814 4.867619 0.000080
