# x_um E_MeV dEdx_MeV_per_um
0.503000 4.683486 0.000102
7.635178 4.682762 0.000102
14.767356 4.682038 0.000102
21.899533 4.681314 0.000102
29.031711 4.680590 0.000102
36.163889 4.679865 0.000102
43.296067 4.679141 0.000102
50.428245 4.678417 0.000102
57.560422 4.677693 0.000102
64.692600 4.676969 0.000102
71.824778 4.676245 0.000102
78.956956 4.675521 0.000102
86.089134 4.674797 0.000102
93.221311 4.674073 0.000102
100.353489 4.673349 0.000102
107.485667 4.672625 0.000102
114.617845 4.671901 0.000102
121.750023 4.671177 0.000102
128.882200 4.670453 0.000102
136.014378 4.669729 0.000101
143.146556 4.669005 0.000101
150.278734 4.668281 0.000101
157.410911 4.667557 0.000101
164.543089 4.666834 0.000101
171.675267 4.666110 0.000101
178.807445 4.665386 0.000101
185.939623 4.664662 0.000101
193.071800 4.663938 0.000101
200.203978 4.663215 0.000101
207.336156 4.662491 0.000101
214.468334 4.661767 0.000101
221.600512 4.661043 0.000101
228.732689 4.660320 0.000101
235.864867 4.659596 0.000101
242.997045 4.658872 0.000101
250.129223 4.658149 0.000101
257.261401 4.657425 0.000101
264.393578 4.656701 0.000101
271.525756 4.655978 0.000101
278.657934 4.655254 0.000101
285.790112 4.654531 0.000101
292.922290 4.653807 0.000101
300.054467 4.653084 0.000101
307.186645 4.652360 0.000101
314.318823 4.651636 0.000101
321.451001 4.650913 0.000101
328.583179 4.650189 0.000101
335.715356 4.649466 0.000101
342.847534 4.648742 0.000101
349.979712 4.648019 0.000101
357.111890 4.647296 0.000101
364.244068 4.646572 0.000101
371.376245 4.645849 0.000101
378.508423 4.645125 0.000101
385.640601 4.644402 0.000101
392.772779 4.643679 0.000101
399.904956 4.642955 0.000101
407.037134 4.642232 0.000101
414.169312 4.641508 0.000101
421.301490 4.640785 0.000101
428.433668 4.640062 0.000101
435.565845 4.639339 0.000101
442.698023 4.638615 0.000101
449.830201 4.637892 0.000101
456.962379 4.637169 0.000101
464.094557 4.636445 0.000101
471.226734 4.635722 0.000101
478.358912 4.634999 0.000101
485.491090 4.634276 0.000101
492.623268 4.633552 0.000101
499.755446 4.632829 0.000101
506.887623 4.632106 0.000101
514.019801 4.631383 0.000101
521.151979 4.630660 0.000101
528.284157 4.629936 0.000101
535.416335 4.629213 0.000101
542.548512 4.628490 0.000101
549.680690 4.627767 0.000101
556.812868 4.627044 0.000101
563.945046 4.626321 0.000101
571.077224 4.625598 0.000101
578.209401 4.624875 0.000101
585.341579 4.624151 0.000101
592.473757 4.623428 0.000101
599.605935 4.622705 0.000101
606.738113 4.621982 0.000101
613.870290 4.621259 0.000101
621.002468 4.620536 0.000101
628.134646 4.619813 0.000101
635.266824 4.619090 0.000101
642.399002 4.618367 0.000101
649.531179 4.617644 0.000101
656.663357 4.616921 0.000101
663.795535 4.616198 0.000101
670.927713 4.615475 0.000101
678.059890 4.614752 0.000101
685.192068 4.614029 0.000101
692.324246 4.613306 0.000101
699.456424 4.612583 0.000101
706.588602 4.611860 0.000101
713.720779 4.611137 0.000101
720.852957 4.610414 0.000101
727.985135 4.609691 0.000101
735.117313 4.608968 0.000101
742.249491 4.608245 0.000101
749.381668 4.607522 0.000101
756.513846 4.606800 0.000101
763.646024 4.606077 0.000101
770.778202 4.605354 0.000101
777.910380 4.604631 0.000101
785.042557 4.603908 0.000101
792.174735 4.603185 0.000101
799.306913 4.602462 0.000101
806.439091 4.601739 0.000101
813.571269 4.601016 0.000101
820.703446 4.600293 0.000101
827.835624 4.599571 0.000101
834.967802 4.598848 0.000101
842.099980 4.598125 0.000101
849.232158 4.597402 0.000101
856.364335 4.596679 0.000101
863.496513 4.595956 0.000101
870.628691 4.595233 0.000101
877.760869 4.594511 0.000101
884.893047 4.593788 0.000101
892.025224 4.593065 0.000101
899.157402 4.592342 0.000101
906.289580 4.591619 0.000101
913.421758 4.590896 0.000101
920.553935 4.590174 0.000101
927.686113 4.589451 0.000101
934.818291 4.588728 0.000101
941.950469 4.588005 0.000101
949.082647 4.587282 0.000101
956.214824 4.586560 0.000101
963.347002 4.585837 0.000101
970.479180 4.585114 0.000101
977.611358 4.584391 0.000101
984.743536 4.583668 0.000101
991.875713 4.582946 0.000101
999.007891 4.582223 0.000101
1006.140069 4.581500 0.000101
1013.272247 4.580777 0.000101
1020.404425 4.580054 0.000101
1027.536602 4.579332 0.000101
1034.668780 4.578609 0.000101
1041.800958 4.577886 0.000101
1048.933136 4.577163 0.000101
1056.065314 4.576440 0.000101
1063.197491 4.575718 0.000101
1070.329669 4.574995 0.000101
1077.461847 4.574272 0.000101
1084.594025 4.573549 0.000101
1091.726203 4.572826 0.000101
1098.858380 4.572104 0.000101
1105.990558 4.571381 0.000101
1113.122736 4.570658 0.000101
1120.254914 4.569935 0.000101
1127.387092 4.569212 0.000101
1134.519269 4.568490 0.000101
1141.651447 4.567767 0.000101
1148.783625 4.567044 0.000101
1155.915803 4.566321 0.000101
1163.047980 4.565598 0.000101
1170.180158 4.564876 0.000101
1177.312336 4.564153 0.000101
1184.444514 4.563430 0.000101
1191.576692 4.562707 0.000101
1198.708869 4.561984 0.000101
1205.841047 4.561261 0.000101
1212.973225 4.560539 0.000101
1220.105403 4.559816 0.000101
1227.237581 4.559093 0.000101
1234.369758 4.558370 0.000101
1241.501936 4.557647 0.000101
1248.634114 4.556924 0.000101
1255.766292 4.556202 0.000101
1262.898470 4.555479 0.000101
1270.030647 4.554756 0.000101
1277.162825 4.554033 0.000101
1284.295003 4.553310 0.000101
1291.427181 4.552587 0.000101
1298.559359 4.551864 0.000101
1305.691536 4.551142 0.000101
1312.823714 4.550419 0.000101
1319.955892 4.549696 0.000101
1327.088070 4.548973 0.000101
1334.220248 4.548250 0.000101
1341.352425 4.547527 0.000101
1348.484603 4.546804 0.000101
1355.616781 4.546081 0.000101
1362.748959 4.545358 0.000101
1369.881137 4.544636 0.000101
1377.013314 4.543913 0.000101
1384.145492 4.543190 0.000101
1391.277670 4.542467 0.000101
1398.409848 4.541744 0.000101
1405.542026 4.541021 0.000101
1412.674203 4.540298 0.000101
1419.806381 4.539575 0.000101
1426.938559 4.538852 0.000101
1434.070737 4.538129 0.000101
1441.202914 4.537406 0.000101
1448.335092 4.536683 0.000101
1455.467270 4.535960 0.000101
1462.599448 4.535237 0.000101
1469.731626 4.534514 0.000101
1476.863803 4.533791 0.000101
1483.995981 4.533068 0.000101
1491.128159 4.532345 0.000101
1498.260337 4.531622 0.000101
1505.392515 4.530899 0.000101
1512.524692 4.530176 0.000101
1519.656870 4.529453 0.000101
1526.789048 4.528730 0.000101
1533.921226 4.528007 0.000101
1541.053404 4.527284 0.000101
1548.185581 4.526560 0.000101
1555.317759 4.525837 0.000101
1562.449937 4.525114 0.000101
1569.582115 4.524391 0.000101
1576.714293 4.523668 0.000101
1583.846470 4.522945 0.000101
1590.978648 4.522222 0.000101
1598.110826 4.521498 0.000101
1605.243004 4.520775 0.000101
1612.375182 4.520052 0.000101
1619.507359 4.519329 0.000101
1626.639537 4.518606 0.000101
1633.771715 4.517882 0.000101
1640.903893 4.517159 0.000101
1648.036071 4.516436 0.000101
1655.168248 4.515713 0.000101
1662.300426 4.514990 0.000101
1669.432604 4.514266 0.000101
1676.564782 4.513543 0.000101
1683.696959 4.512820 0.000101
1690.829137 4.512096 0.000101
1697.961315 4.511373 0.000101
1705.093493 4.510650 0.000101
1712.225671 4.509926 0.000101
1719.357848 4.509203 0.000101
1726.490026 4.508480 0.000101
1733.622204 4.507756 0.000101
1740.754382 4.507033 0.000101
1747.886560 4.506310 0.000101
1755.018737 4.505586 0.000101
1762.150915 4.504863 0.000101
1769.283093 4.504139 0.000101
1776.415271 4.503416 0.000101
1783.547449 4.502692 0.000101
1790.679626 4.501969 0.000101
1797.811804 4.501245 0.000101
1804.943982 4.500522 0.000101
1812.076160 4.499798 0.000101
1819.208338 4.499075 0.000101
1826.340515 4.498351 0.000101
1833.472693 4.497628 0.000101
1840.604871 4.496904 0.000101
1847.737049 4.496181 0.000101
1854.869227 4.495457 0.000101
1862.001404 4.494733 0.000101
1869.133582 4.494010 0.000101
1876.265760 4.493286 0.000101
1883.397938 4.492562 0.000101
1890.530116 4.491839 0.000101
1897.662293 4.491115 0.000101
1904.794471 4.490391 0.000101
1911.926649 4.489668 0.000101
1919.058827 4.488944 0.000101
1926.191005 4.488220 0.000101
1933.323182 4.487496 0.000101
1940.455360 4.486773 0.000101
1947.587538 4.486049 0.000101
1954.719716 4.485325 0.000101
1961.851893 4.484601 0.000101
1968.984071 4.483877 0.000101
1976.116249 4.483153 0.000101
1983.248427 4.482429 0.000101
1990.380605 4.481706 0.000101
1997.512782 4.480982 0.000102
2004.644960 4.480258 0.000102
2011.777138 4.479534 0.000102
2018.909316 4.478810 0.000102
2026.041494 4.478086 0.000102
2033.173671 4.477362 0.000102
2040.305849 4.476638 0.000102
2047.438027 4.475914 0.000102
2054.570205 4.475190 0.000102
2061.702383 4.474466 0.000102
2068.834560 4.473741 0.000102
2075.966738 4.473017 0.000102
2083.098916 4.472293 0.000102
2090.231094 4.471569 0.000102
2097.363272 4.470845 0.000102
2104.495449 4.470121 0.000102
2111.627627 4.469396 0.000102
2118.759805 4.468672 0.000102
2125.891983 4.467948 0.000102
2133.024161 4.467224 0.000102
2140.156338 4.466499 0.000102
2147.288516 4.465775 0.000102
2154.420694 4.465051 0.000102
2161.552872 4.464326 0.000102
2168.685050 4.463602 0.000102
2175.817227 4.462878 0.000102
2182.949405 4.462153 0.000102
2190.081583 4.461429 0.000102
2197.213761 4.460704 0.000102
2204.345938 4.459980 0.000102
2211.478116 4.459255 0.000102
2218.610294 4.458531 0.000102
2225.742472 4.457806 0.000102
2232.874650 4.457082 0.000102
2240.006827 4.456357 0.000102
2247.139005 4.455633 0.000102
2254.271183 4.454908 0.000102
2261.403361 4.454183 0.000102
2268.535539 4.453459 0.000102
2275.667716 4.452734 0.000102
2282.799894 4.452009 0.000102
2289.932072 4.451285 0.000102
2297.064250 4.450560 0.000102
2304.196428 4.449835 0.000102
2311.328605 4.449110 0.000102
2318.460783 4.448385 0.000102
2325.592961 4.447661 0.000102
2332.725139 4.446936 0.000102
2339.857317 4.446211 0.000102
2346.989494 4.445486 0.000102
2354.121672 4.444761 0.000102
2361.253850 4.444036 0.000102
2368.386028 4.443311 0.000102
2375.518206 4.442586 0.000102
2382.650383 4.441861 0.000102
2389.782561 4.441136 0.000102
2396.914739 4.440411 0.000102
2404.046917 4.439686 0.000102
2411.179095 4.438960 0.000102
