# filename pressure_mbar thickness_mm thickness_um source peak_channel sys_uncertainty stat_uncertainty total_uncertainty model energy_MeV energy_sys_unc energy_stat_unc energy_calib_unc energy_total_unc
T0_0156nit3.txt 0.0156 0.002225 2.225 pu 877.187 0.013 0.198 0.198 ensemble 4.949 0.000 0.001 0.005 0.005
T0_0156nit3.txt 0.0156 0.002225 2.225 am 934.166 0.015 0.167 0.168 ensemble 5.288 0.000 0.001 0.005 0.005
T0_0156nit3.txt 0.0156 0.002225 2.225 cm 987.069 0.943 0.432 1.037 ensemble 5.603 0.006 0.003 0.005 0.008
T40_1nit3.txt 40.1000 5.718678 5718.678 pu 812.645 1.460 0.534 1.554 ensemble 4.564 0.009 0.003 0.004 0.010
T40_1nit3.txt 40.1000 5.718678 5718.678 am 871.180 0.855 0.479 0.980 ensemble 4.913 0.005 0.003 0.005 0.008
T40_1nit3.txt 40.1000 5.718678 5718.678 cm 927.579 0.079 1.227 1.229 ensemble 5.249 0.000 0.007 0.005 0.009
T60_3nit3.txt 60.3000 8.599408 8599.408 pu 770.039 1.648 0.685 1.784 ensemble 4.311 0.010 0.004 0.004 0.011
T60_3nit3.txt 60.3000 8.599408 8599.408 am 830.807 0.200 0.382 0.432 ensemble 4.672 0.001 0.002 0.005 0.005
T80_1nit3.txt 80.1000 11.423094 11423.094 pu 731.596 0.482 0.901 1.022 ensemble 4.082 0.003 0.005 0.004 0.007
T80_1nit3.txt 80.1000 11.423094 11423.094 am 797.783 0.725 0.585 0.932 ensemble 4.476 0.004 0.003 0.004 0.007
T80_1nit3.txt 80.1000 11.423094 11423.094 cm 859.509 0.488 6.177 6.197 ensemble 4.843 0.003 0.037 0.005 0.037
T99_8nit3.txt 99.8000 14.232519 14232.519 pu 692.347 5.178 3.692 6.360 ensemble 3.848 0.031 0.022 0.004 0.038
T99_8nit3.txt 99.8000 14.232519 14232.519 am 756.163 1.008 0.862 1.327 ensemble 4.228 0.006 0.005 0.004 0.009
T99_8nit3.txt 99.8000 14.232519 14232.519 cm 818.380 0.548 1.393 1.497 ensemble 4.598 0.003 0.008 0.004 0.010
T121nit3.txt 121.0000 17.255860 17255.860 pu 650.544 1.504 0.766 1.688 ensemble 3.599 0.009 0.005 0.004 0.011
T121nit3.txt 121.0000 17.255860 17255.860 am 719.437 1.344 0.789 1.558 ensemble 4.009 0.008 0.005 0.004 0.010
T144nit3.txt 144.0000 20.535899 20535.899 pu 592.158 0.451 0.647 0.789 ensemble 3.252 0.003 0.004 0.004 0.006
T144nit3.txt 144.0000 20.535899 20535.899 am 667.749 0.127 0.707 0.718 ensemble 3.702 0.001 0.004 0.004 0.006
T159nit3.txt 159.0000 22.675056 22675.056 pu 565.684 1.923 1.315 2.330 ensemble 3.094 0.011 0.008 0.004 0.014
T159nit3.txt 159.0000 22.675056 22675.056 am 642.296 3.696 2.915 4.707 ensemble 3.550 0.022 0.017 0.004 0.028
T206nit3.txt 206.0000 29.377745 29377.745 pu 443.484 1.517 1.560 2.176 ensemble 2.367 0.009 0.009 0.003 0.013
T206nit3.txt 206.0000 29.377745 29377.745 am 530.254 1.764 1.079 2.068 ensemble 2.883 0.010 0.006 0.003 0.013
T206nit3.txt 206.0000 29.377745 29377.745 cm 610.188 3.323 12.186 12.630 ensemble 3.359 0.020 0.073 0.004 0.075
T251nit3.txt 251.0000 35.795213 35795.213 pu 300.567 1.056 2.112 2.361 ensemble 1.516 0.006 0.013 0.003 0.014
T251nit3.txt 251.0000 35.795213 35795.213 am 408.469 4.128 3.107 5.166 ensemble 2.158 0.025 0.018 0.003 0.031
T303nit3.txt 303.0000 43.210955 43210.955 pu 80.065 1.171 6.353 6.460 ensemble 0.203 0.007 0.038 0.002 0.039
T303nit3.txt 303.0000 43.210955 43210.955 am 233.549 1.869 2.563 3.172 ensemble 1.117 0.011 0.015 0.003 0.019
T303nit3.txt 303.0000 43.210955 43210.955 cm 348.291 1.791 10.935 11.081 ensemble 1.800 0.011 0.065 0.003 0.066
