# pressure_mbar thickness_mm thickness_um source avg_peak_channel avg_sys_unc avg_stat_unc avg_total_unc n_trials avg_energy_MeV energy_sys_unc energy_stat_unc energy_calib_unc energy_total_unc
0.0156 0.002225 2.225 am 934.166 0.015 0.168 0.168 1 5.288 0.000 0.001 0.005 0.005
0.0156 0.002225 2.225 cm 987.069 0.943 1.037 1.401 1 5.603 0.006 0.006 0.005 0.010
0.0156 0.002225 2.225 pu 877.187 0.013 0.198 0.198 1 4.949 0.000 0.001 0.005 0.005
40.1000 5.718678 5718.678 am 871.180 0.855 0.980 1.300 1 4.913 0.005 0.006 0.005 0.009
40.1000 5.718678 5718.678 cm 927.579 0.079 1.229 1.232 1 5.249 0.000 0.007 0.005 0.009
40.1000 5.718678 5718.678 pu 812.645 1.460 1.554 2.133 1 4.564 0.009 0.009 0.004 0.013
60.3000 8.599408 8599.408 am 830.807 0.200 0.432 0.476 1 4.672 0.001 0.003 0.005 0.005
60.3000 8.599408 8599.408 pu 770.039 1.648 1.784 2.429 1 4.311 0.010 0.011 0.004 0.015
80.1000 11.423094 11423.094 am 797.783 0.725 0.932 1.181 1 4.476 0.004 0.006 0.004 0.008
80.1000 11.423094 11423.094 cm 859.509 0.488 6.197 6.216 1 4.843 0.003 0.037 0.005 0.037
80.1000 11.423094 11423.094 pu 731.596 0.482 1.022 1.130 1 4.082 0.003 0.006 0.004 0.008
99.8000 14.232519 14232.519 am 756.163 1.008 1.327 1.666 1 4.228 0.006 0.008 0.004 0.011
99.8000 14.232519 14232.519 cm 818.380 0.548 1.497 1.595 1 4.598 0.003 0.009 0.004 0.011
99.8000 14.232519 14232.519 pu 692.347 5.178 6.360 8.201 1 3.848 0.031 0.038 0.004 0.049
121.0000 17.255860 17255.860 am 719.437 1.344 1.558 2.057 1 4.009 0.008 0.009 0.004 0.013
121.0000 17.255860 17255.860 pu 650.544 1.504 1.688 2.261 1 3.599 0.009 0.010 0.004 0.014
144.0000 20.535899 20535.899 am 667.749 0.127 0.718 0.730 1 3.702 0.001 0.004 0.004 0.006
144.0000 20.535899 20535.899 pu 592.158 0.451 0.789 0.909 1 3.252 0.003 0.005 0.004 0.007
159.0000 22.675056 22675.056 am 642.296 3.696 4.707 5.985 1 3.550 0.022 0.028 0.004 0.036
159.0000 22.675056 22675.056 pu 565.684 1.923 2.330 3.021 1 3.094 0.011 0.014 0.004 0.018
206.0000 29.377745 29377.745 am 530.254 1.764 2.068 2.718 1 2.883 0.010 0.012 0.003 0.017
206.0000 29.377745 29377.745 cm 610.188 3.323 12.630 13.060 1 3.359 0.020 0.075 0.004 0.078
206.0000 29.377745 29377.745 pu 443.484 1.517 2.176 2.653 1 2.367 0.009 0.013 0.003 0.016
251.0000 35.795213 35795.213 am 408.469 4.128 5.166 6.613 1 2.158 0.025 0.031 0.003 0.039
251.0000 35.795213 35795.213 pu 300.567 1.056 2.361 2.587 1 1.516 0.006 0.014 0.003 0.016
303.0000 43.210955 43210.955 am 233.549 1.869 3.172 3.682 1 1.117 0.011 0.019 0.003 0.022
303.0000 43.210955 43210.955 cm 348.291 1.791 11.081 11.225 1 1.800 0.011 0.066 0.003 0.067
303.0000 43.210955 43210.955 pu 80.065 1.171 6.460 6.565 1 0.203 0.007 0.038 0.002 0.039
