# x_um E_MeV dEdx_MeV_per_um
0.000000000000000000e+00 5.423971422748505411e+00 4.012046655393479710e-01
2.500625156289072205e-03 5.422968225596580538e+00 4.011524349860979277e-01
5.001250312578144411e-03 5.421965158915536875e+00 4.011003149298812964e-01
7.501875468867216616e-03 5.420962222429056787e+00 4.010483053706980772e-01
1.000250062515628882e-02 5.419959415860836849e+00 4.009964063085484920e-01
1.250312578144536016e-02 5.418956738934561201e+00 4.009446177434324299e-01
1.500375093773443323e-02 5.417954191373919315e+00 4.008929396753497798e-01
1.750437609402350631e-02 5.416951772902597106e+00 4.008413721043007083e-01
2.000500125031257764e-02 5.415949483244281382e+00 4.007899150302849378e-01
2.250562640660164898e-02 5.414947322122667828e+00 4.007385684533028014e-01
2.500625156289072032e-02 5.413945289261439697e+00 4.006873323733541326e-01
2.750687671917979513e-02 5.412943384384286460e+00 4.006362067904389868e-01
3.000750187546886646e-02 5.411941607214896699e+00 4.005851917045573640e-01
3.250812703175794127e-02 5.410939957476957218e+00 4.005342871157091533e-01
3.500875218804701261e-02 5.409938434894155712e+00 4.004834930238944657e-01
3.750937734433608395e-02 5.408937039190183427e+00 4.004328094291133011e-01
4.001000250062515529e-02 5.407935770088727168e+00 4.003822363313656041e-01
4.251062765691422662e-02 5.406934627313479069e+00 4.003317737306514301e-01
4.501125281320329796e-02 5.405933610588120608e+00 4.002814216269707237e-01
4.751187796949236930e-02 5.404932719636341254e+00 4.002311800203234293e-01
5.001250312578144064e-02 5.403931954181834030e+00 4.001810489107096580e-01
5.251312828207051892e-02 5.402931313948286629e+00 4.001310282981295763e-01
5.501375343835959025e-02 5.401930798659383193e+00 4.000811181825828511e-01
5.751437859464866159e-02 5.400930408038816743e+00 4.000313185640697045e-01
6.001500375093773293e-02 5.399930141810268758e+00 3.999816294425898033e-01
6.251562890722681121e-02 5.398929999697434923e+00 3.999320508181435363e-01
6.501625406351588254e-02 5.397929981424002044e+00 3.998825826907308478e-01
6.751687921980495388e-02 5.396930086713656038e+00 3.998332250603515714e-01
7.001750437609402522e-02 5.395930315290085488e+00 3.997839779270058735e-01
7.251812953238309656e-02 5.394930666876981640e+00 3.997348412906936432e-01
7.501875468867216790e-02 5.393931141198027746e+00 3.996858151514147139e-01
7.751937984496123923e-02 5.392931737976916828e+00 3.996368995091694742e-01
8.002000500125031057e-02 5.391932456937336582e+00 3.995880943639577021e-01
8.252063015753938191e-02 5.390933297802972923e+00 3.995393997157794530e-01
8.502125531382845325e-02 5.389934260297517987e+00 3.994908155646347270e-01
8.752188047011752459e-02 5.388935344144652362e+00 3.994423419105233020e-01
9.002250562640659592e-02 5.387936549068075287e+00 3.993939787534455665e-01
