# filename thickness_um trial peak_channel sys_uncertainty stat_uncertainty total_uncertainty model energy_MeV energy_sys_unc energy_stat_unc energy_calib_unc energy_total_unc
T0oneni.txt 0.000 one 1650.154 0.528 0.507 0.732 ensemble 5.418 0.002 0.002 0.001 0.002
T0twoni.txt 0.000 two 1652.116 0.992 0.404 1.071 ensemble 5.425 0.003 0.001 0.001 0.004
T10oneni.txt 10.000 one 112.432 0.721 107157.471 107157.471 ensemble 0.374 0.002 351.506 0.000 351.506
T10twoni.txt 10.000 two 115.052 0.583 2.854 2.913 ensemble 0.383 0.002 0.009 0.000 0.010
T1oneni.txt 1.000 one 1538.103 0.883 0.531 1.030 ensemble 5.051 0.003 0.002 0.001 0.003
T1twoni.txt 1.000 two 1538.540 2.262 0.831 2.410 ensemble 5.052 0.007 0.003 0.001 0.008
T2oneni.txt 2.000 one 1410.799 2.685 1.180 2.933 ensemble 4.633 0.009 0.004 0.001 0.010
T2twoni.txt 2.000 two 1408.799 3.568 0.943 3.690 ensemble 4.627 0.012 0.003 0.001 0.012
T3oneni.txt 3.000 one 1281.671 0.296 1.117 1.155 ensemble 4.210 0.001 0.004 0.000 0.004
T3twoni.txt 3.000 two 1282.189 3.020 1.647 3.440 ensemble 4.211 0.010 0.005 0.000 0.011
T4oneni.txt 4.000 one 1159.549 2.691 1.547 3.104 ensemble 3.809 0.009 0.005 0.000 0.010
T4twoni.txt 4.000 two 1154.617 1.595 1.845 2.439 ensemble 3.793 0.005 0.006 0.000 0.008
T5oneni.txt 5.000 one 1012.371 7.577 1.726 7.771 ensemble 3.326 0.025 0.006 0.000 0.025
T5twoni.txt 5.000 two 1008.233 1.998 1.941 2.786 ensemble 3.313 0.007 0.006 0.000 0.009
T6oneni.txt 6.000 one 848.412 5.557 3.805 6.735 ensemble 2.788 0.018 0.012 0.000 0.022
T6twoni.txt 6.000 two 838.499 1.787 2.413 3.003 ensemble 2.756 0.006 0.008 0.000 0.010
T7oneni.txt 7.000 one 679.669 2.044 3.307 3.888 ensemble 2.235 0.007 0.011 0.000 0.013
T7twoni.txt 7.000 two 678.013 1.142 2.700 2.931 ensemble 2.229 0.004 0.009 0.000 0.010
T8oneni.txt 8.000 one 466.246 0.442 6.467 6.482 ensemble 1.535 0.001 0.021 0.000 0.021
T8twoni.txt 8.000 two 461.323 8.165 711218.394 711218.394 ensemble 1.519 0.027 2332.990 0.000 2332.990
T9oneni.txt 9.000 one 266.465 5.340 14.849 15.780 ensemble 0.879 0.018 0.049 0.000 0.052
T9twoni.txt 9.000 two 257.400 1.685 6.561 6.774 ensemble 0.850 0.006 0.022 0.000 0.022
