# thickness_um  avg_peak_channel  avg_sys_uncertainty  avg_stat_uncertainty  avg_total_uncertainty  n_trials  avg_energy_MeV  energy_sys_unc  energy_stat_unc  energy_calib_unc  energy_total_unc
0.000 1650.779 0.795 0.605 0.998 2 5.420 0.003 0.002 0.001 0.003
1.000 1538.170 1.717 0.947 1.961 2 5.051 0.006 0.003 0.001 0.006
2.000 1410.025 3.158 2.296 3.904 2 4.631 0.010 0.008 0.001 0.013
3.000 1281.723 2.146 1.095 2.409 2 4.210 0.007 0.004 0.000 0.008
4.000 1156.499 2.212 1.918 2.928 2 3.799 0.007 0.006 0.000 0.010
5.000 1008.704 5.541 2.622 6.130 2 3.314 0.018 0.009 0.000 0.020
6.000 840.143 4.128 2.743 4.956 2 2.761 0.014 0.009 0.000 0.016
7.000 678.613 1.656 2.340 2.867 2 2.231 0.005 0.008 0.000 0.009
8.000 466.246 5.782 6.482 8.686 2 1.535 0.019 0.021 0.000 0.028
9.000 258.810 3.960 6.224 7.377 2 0.854 0.013 0.020 0.000 0.024
10.000 115.052 0.655 2.913 2.986 2 0.383 0.002 0.010 0.000 0.010
